"AddressID","AddressLine1","AddressLine2","City","StateProvinceID","PostalCode","rowguid","ModifiedDate"
"722","Haberstr 29","","Bonn","20","53131","{DC577387-7B12-4D08-A4FB-D2856F653B41}","2012-05-30 00:00:00"
"723","Auf der Krone 53","","Bonn","53","53131","{2689B36D-BC77-41FF-8B63-662F6AB1F253}","2012-06-30 00:00:00"
"11436","Curieweg 3991","","Bonn","53","53131","{59C7E622-1A26-440A-A742-29D12B961A61}","2014-03-28 00:00:00"
"11631","Conesweg 180","","Bonn","20","53131","{026215E6-A3EE-40B4-83C2-E0EA15143BA8}","2013-07-24 00:00:00"
"11707","Charlottenstr 35818","","Bonn","20","53131","{39F2A4A5-F517-46A9-89C4-601928232C71}","2012-02-01 00:00:00"
"12390","Celler Weg 304","","Bonn","53","53131","{226C74F1-FAA0-4D20-A458-A2B8A0CD06EF}","2013-07-17 00:00:00"
"12754","Carlsplatz 89","","Bonn","20","53131","{26491D7A-9B7C-4FF4-9B66-F1B1EB37D002}","2013-08-31 00:00:00"
"13329","Westheimer Straße 5601","","Bonn","53","53131","{89126560-D707-4FCD-951B-3FFBBB0C9D7E}","2014-03-03 00:00:00"
"14043","Auf den Kuhlen Straße 3619","","Bonn","53","53131","{C8EA3A8E-C925-49A2-B010-05096580E032}","2013-11-02 00:00:00"
"14834","Postfach 99 01 01","","Bonn","53","53131","{D15FD375-A89F-44DC-B3C6-508E7D20B0B3}","2013-11-20 00:00:00"
"15163","Auf dem Ufer 164","","Bonn","20","53131","{8F147F8E-1DBB-463D-941E-FFA1F7A075F0}","2012-05-30 00:00:00"
"15462","Am Kreuz 4055","","Bonn","20","53131","{7DAA419D-C20B-488D-80E2-B76F94B28FC1}","2014-05-28 00:00:00"
"15547","Am Karlshof 368","","Bonn","20","53131","{FCCBD621-3B5F-48EB-84B5-9A4542ADA44D}","2013-07-21 00:00:00"
"15694","Am Grossen Dern 4583","","Bonn","20","53131","{2A764417-46D1-4B12-AB36-8A8DA614E4E2}","2013-07-22 00:00:00"
"15830","Alderweg 1845","","Bonn","53","53131","{AC166F36-CE43-4620-87D2-218E03640D82}","2014-05-15 00:00:00"
"15846","Am Gallberg 64","","Bonn","53","53131","{C26E3EE6-3059-4FEA-B84E-31A77068ADC7}","2014-01-02 00:00:00"
"16282","Alderstr 8139","","Bonn","20","53131","{11EDB57F-5AE7-4C7C-9233-F2B1F50AB5C9}","2013-12-20 00:00:00"
"17131","Hochstr 8111","","Bonn","20","53131","{66AD3F8B-07C1-489D-9425-17A6EBA728BC}","2014-05-22 00:00:00"
"17137","Residenz Straße 944","Verkaufsabteilung","Bonn","20","53131","{6A03C2FE-E7D3-41B2-B632-DB8848D7C028}","2013-10-11 00:00:00"
"17215","Marienplatz 321","","Bonn","53","53131","{31A70C4E-8C8A-43BF-AB97-8D5E620CD1F7}","2013-10-25 00:00:00"
"17321","Galeriestr 6816","","Bonn","20","53131","{3DF67812-26F0-4386-A4BD-F08FE6C1CBC3}","2013-10-30 00:00:00"
"17512","Lützowplatz 5538","","Bonn","53","53131","{820FC409-5E9B-4344-8260-95D4726CA4E9}","2014-02-05 00:00:00"
"17796","Postfach 11 00 99","","Bonn","53","53131","{88C8CCF1-20D6-40E3-AB39-1EBB762B242B}","2013-07-07 00:00:00"
