"AddressID","AddressLine1","AddressLine2","City","StateProvinceID","PostalCode","rowguid","ModifiedDate"
"11523","8224 Georgia Street","","Cliffside","7","V8Y 1L1","{80A23DFE-30FA-4407-8D5D-CE4B63B31A94}","2012-07-05 00:00:00"
"11643","1872 Chance Drive","","Cliffside","7","V8Y 1L1","{5787DA70-4B38-4562-8613-3F0A7D5B5132}","2014-02-04 00:00:00"
"11646","4286 NE 3rd Court","","Cliffside","7","V8Y 1L1","{B57FE1A6-22C3-4F26-8EFB-C7D24EB175DB}","2013-08-01 00:00:00"
"11695","5444 Bellord Ct.","","Cliffside","7","V8Y 1L1","{80DBD3D6-1DDC-432C-B7EF-AC45D1A88C9C}","2014-05-05 00:00:00"
"11797","9896 White Dr","","Cliffside","7","V8Y 1L1","{9C725715-BF5E-4181-A5E8-D231FD13F09D}","2014-05-28 00:00:00"
"11904","5425 Highland Circle","","Cliffside","7","V8Y 1L1","{46842D6C-E9DC-4DBA-BC5A-263742386F39}","2014-01-19 00:00:00"
"12064","2328 Elk Dr","","Cliffside","7","V8Y 1L1","{12F110F6-011D-4946-8456-12A24512AEFB}","2013-07-18 00:00:00"
"12129","1348 Montego","","Cliffside","7","V8Y 1L1","{C33B7CA8-7589-432A-AA2B-4073155A391B}","2014-03-18 00:00:00"
"12134","7182 Olive Hill","","Cliffside","7","V8Y 1L1","{AFE1D082-5A06-4463-ABD0-D504CCC4F459}","2013-11-10 00:00:00"
"12240","2286 Sunset Way","","Cliffside","7","V8Y 1L1","{ABF87245-023A-49E2-9BC0-E69D7EA5B33C}","2013-12-08 00:00:00"
"12395","5816 Camacho","","Cliffside","7","V8Y 1L1","{5FE5B322-7D2E-4A89-8237-7DB5E84A8A51}","2014-03-06 00:00:00"
"12489","8084 Sunnyvale Avenue","","Cliffside","7","V8Y 1L1","{388A94E8-600D-4392-83FA-FACCD6CD5F80}","2013-07-02 00:00:00"
"12658","1819 Lilac Court","","Cliffside","7","V8Y 1L1","{9389FBD9-ADF8-4F9F-9237-96FA28941A3E}","2012-06-03 00:00:00"
"12680","2467 Green St.","","Cliffside","7","V8Y 1L1","{4ED68C40-3273-419C-87C5-29DC6E63E1E6}","2014-03-06 00:00:00"
"12866","9699 Gilardy Drive","","Cliffside","7","V8Y 1L1","{ED094749-0E5E-457A-9B0B-0BD1F1EF192E}","2012-05-27 00:00:00"
"12873","1800 Honey Court","","Cliffside","7","V8Y 1L1","{2CD59F9D-9957-47EB-B1D8-2C0BDEA4B7D4}","2013-07-08 00:00:00"
"12878","764 Teak Court","","Cliffside","7","V8Y 1L1","{138F2297-9E48-45A7-8B6E-B153C3038577}","2013-04-23 00:00:00"
"12988","3788 Gordon Ct.","","Cliffside","7","V8Y 1L1","{9A00F8D9-9914-4B82-B311-58DC0BF6E633}","2014-05-28 00:00:00"
"13204","9027 Alan Dr","","Cliffside","7","V8Y 1L1","{E4EBE7E6-5972-4589-996A-BDD2AEB67B27}","2013-11-06 00:00:00"
"13228","2850 D Bel Air Dr","","Cliffside","7","V8Y 1L1","{4A24553B-1386-491D-9159-01C5E8E3AC94}","2013-09-26 00:00:00"
"13244","7509 San Cristobal","","Cliffside","7","V8Y 1L1","{16A9BC2C-0417-47E7-876D-1D17E64AD6C9}","2013-09-24 00:00:00"
"13503","1431 Rancho View Drive","# 14","Cliffside","7","V8Y 1L1","{D28F39FA-027C-4B82-BD1D-592167920384}","2014-05-08 00:00:00"
"13679","6312 Woodcrest Dr","","Cliffside","7","V8Y 1L1","{9D5B3948-DB45-4A0A-9D96-5C9F041CE7B8}","2013-11-27 00:00:00"
"13731","1663 Park Glen Court","","Cliffside","7","V8Y 1L1","{FA93A64C-1331-48CD-AE72-82F638361EE9}","2014-02-15 00:00:00"
"13766","3686 Mac Court","","Cliffside","7","V8Y 1L1","{3A5CB9E0-4A2A-4201-B243-5A44FFD2B5EA}","2013-07-26 00:00:00"
"13829","191 Trail Way","","Cliffside","7","V8Y 1L1","{95101BBB-06D6-4108-9538-2A20E38FAF36}","2011-08-01 00:00:00"
"14085","8047 Dover Drive","","Cliffside","7","V8Y 1L1","{AA835835-995E-4112-9C8D-0BE3D00CE811}","2011-09-28 00:00:00"
"14119","9363 Vista Bonita","# 123","Cliffside","7","V8Y 1L1","{83594FC7-7A4B-478D-94BC-D768D7EC72AC}","2013-06-13 00:00:00"
"14234","8483 Wilke Drive","","Cliffside","7","V8Y 1L1","{87238AED-EB97-4A93-8DFB-448DB65B47C3}","2013-10-23 00:00:00"
"14405","6542 Stonewood Drive","","Cliffside","7","V8Y 1L1","{5F3B9452-0EA1-4BD0-9A56-DD8E699E5813}","2013-09-30 00:00:00"
"14470","4058 First Ave","","Cliffside","7","V8Y 1L1","{9D021864-2A76-4789-A627-9EDFD09F99DD}","2013-09-23 00:00:00"
"14483","5446 Via Estrella","","Cliffside","7","V8Y 1L1","{0F229B6C-6E0A-4ADD-A492-85039996EE58}","2014-03-12 00:00:00"
"14518","2111 Ringing Dr","","Cliffside","7","V8Y 1L1","{06BB0CF1-2EA0-4A57-B43A-4A1A740DB77F}","2013-08-18 00:00:00"
"14665","7581 Whiteaben Drive","","Cliffside","7","V8Y 1L1","{37A12FE7-1B06-4EBA-BBD0-AA7E3C3C3F3F}","2012-11-27 00:00:00"
"14718","2460 Tanager Court","","Cliffside","7","V8Y 1L1","{5F384D30-179F-44F6-98F1-CD07EB4B4FE4}","2013-08-26 00:00:00"
"14966","5361 Hungry Road","","Cliffside","7","V8Y 1L1","{A8876B69-5B22-426A-8DD7-6C18FF48601E}","2013-07-06 00:00:00"
"14967","6857 La Salle Ct","","Cliffside","7","V8Y 1L1","{FC0FC7ED-43FF-458A-AEE0-A6A01763CAE0}","2014-04-08 00:00:00"
"15130","9326 Mayda Way","","Cliffside","7","V8Y 1L1","{087F7013-01E5-4AAC-82AC-47468145C870}","2012-01-12 00:00:00"
"15284","9330 Sinclair Ave","","Cliffside","7","V8Y 1L1","{94B62A72-5447-4248-8A1A-9D916CFBD6BC}","2014-05-15 00:00:00"
"15285","826 Sycamore Drive","","Cliffside","7","V8Y 1L1","{70B21A45-C3C5-477E-837D-4BC9831CD8FB}","2014-05-21 00:00:00"
"15422","3797 Baird Court","","Cliffside","7","V8Y 1L1","{DFDAE688-C78E-4EF0-BD31-8F6DC90EEC20}","2013-07-02 00:00:00"
"15512","5464 Olive Ave","","Cliffside","7","V8Y 1L1","{D954D047-A95C-494F-ADEA-D946384C9475}","2013-08-04 00:00:00"
"15610","6058 Foothill Way","","Cliffside","7","V8Y 1L1","{A54F00F7-9947-483C-BC15-455F9421948C}","2013-07-16 00:00:00"
"15635","4823 Park Blvd.","","Cliffside","7","V8Y 1L1","{269F5267-CF4F-4A3B-A584-E450557DB84C}","2014-06-27 00:00:00"
"15891","7225 Newell Ave.","","Cliffside","7","V8Y 1L1","{26FF7F4D-3160-45B0-9E70-B02C72901AA0}","2014-02-08 00:00:00"
"16124","495 Alameda Drive","","Cliffside","7","V8Y 1L1","{E47FB133-CCDE-44B8-A25D-1BA3B2FF95BB}","2013-07-27 00:00:00"
"16164","5578 Burning Barn Dr","","Cliffside","7","V8Y 1L1","{1F4EB6CD-BF1D-4917-B0B2-7B6EC952BC90}","2014-06-13 00:00:00"
"16548","5799 Abbey Court","","Cliffside","7","V8Y 1L1","{D9A5F438-1D5C-463E-9341-3FA1299FBDEC}","2014-04-13 00:00:00"
"16566","7161 Broadway St","","Cliffside","7","V8Y 1L1","{B10389C6-8B00-4CE4-9C4B-419A70366FCE}","2014-05-03 00:00:00"
"16651","6652 Birch Park Rd","","Cliffside","7","V8Y 1L1","{394124EE-6779-4638-84C5-E5213A033120}","2013-12-09 00:00:00"
"16746","9537 Ridgewood Drive","","Cliffside","7","V8Y 1L1","{A08EBC73-E11D-453F-8FAF-9315BD9C3E77}","2013-08-13 00:00:00"
"16747","6797 Smiling Tree Court","","Cliffside","7","V8Y 1L1","{17EEBE7B-97E9-4A05-A95E-FF949ADEAE01}","2013-12-29 00:00:00"
"16764","5537 Virginia Hills","","Cliffside","7","V8Y 1L1","{216C883F-2256-47A7-B03A-D613E67AE99D}","2013-07-27 00:00:00"
"16875","2076 Westover Dr","","Cliffside","7","V8Y 1L1","{E790B9AB-E390-49FD-8A10-3F23CD2C8807}","2014-06-19 00:00:00"
"17025","799 Temple Dr.","","Cliffside","7","V8Y 1L1","{358210B4-38FF-4770-BF5D-58FE8F21ED49}","2014-02-24 00:00:00"
