"AddressID","AddressLine1","AddressLine2","City","StateProvinceID","PostalCode","rowguid","ModifiedDate"
"333","50 Edward Ave","","Concord","9","94519","{EBE095F2-E14F-429D-829C-922E807B6D65}","2012-01-17 00:00:00"
"354","5 Madrid","","Concord","9","94519","{C13F0AB3-2847-4718-9DDD-0B1D73228C33}","2012-01-25 00:00:00"
"11490","6270 North Star Dr.","","Concord","9","94519","{E7061DD0-1F9C-4B0D-8F31-3D5088CE7664}","2013-12-17 00:00:00"
"11552","5805 Churchill Dr.","","Concord","9","94519","{5B7A0606-DA07-43BB-89C4-B500D9018CC7}","2012-12-21 00:00:00"
"11751","9466 Morning Glory Dr.","","Concord","9","94519","{77D191AB-B53B-41E6-A061-2C3E148978F9}","2012-02-25 00:00:00"
"11868","4352 Marclair Dr.","","Concord","9","94519","{EEAB48D7-7455-405C-AAF4-2737AC12C44C}","2014-01-20 00:00:00"
"12095","1940 Detroit Ave.","","Concord","9","94519","{993406D9-07AC-4184-AA9E-E992806756CC}","2014-05-24 00:00:00"
"12111","5300 East 88th Street","","Concord","9","94519","{1F1F95C0-EEA3-411A-AFE8-8EE23325CEEC}","2014-02-06 00:00:00"
"12167","1944 Serene Court","","Concord","9","94519","{90AB530B-D9B7-49AE-97AA-A4DC510A90A5}","2014-02-20 00:00:00"
"12206","8914 Elkwood Dr.","","Concord","9","94519","{67F2F5B5-4EB3-4D63-B923-0F4EC311ACF5}","2013-11-03 00:00:00"
"12279","712 Sweetwater Drive","","Concord","9","94519","{AA5B4B33-6E3C-4702-8143-543EB02ED73B}","2014-05-12 00:00:00"
"12354","5275 Whitehall Drive","","Concord","9","94519","{20E63CF2-99EF-4B1C-BFB0-267DD991F4C4}","2013-11-01 00:00:00"
"12421","4535 Walnut Blvd.","","Concord","9","94519","{FC411013-B7CE-437A-B643-22E25677B587}","2014-01-25 00:00:00"
"12469","9950 Edward Ave","","Concord","9","94519","{8EF10679-1E28-40DE-ADD0-E91150D2C88A}","2013-11-08 00:00:00"
"12750","3848 East 39th Street","","Concord","9","94519","{71E92B02-0545-4DF1-8E19-6E9938EB4046}","2014-03-02 00:00:00"
"12821","6973 Elena","","Concord","9","94519","{A617C4D0-CAC7-4274-977D-5BB810C24887}","2013-10-04 00:00:00"
"12890","7559 Worth Ct.","","Concord","9","94519","{6CC77BF5-A349-4530-8D7C-E9BD7DBF8350}","2013-06-30 00:00:00"
"12895","4861 Via Valencia","","Concord","9","94519","{0612910C-F55E-4BA4-8B03-33D686F31529}","2011-09-27 00:00:00"
"13009","1828 Robinson Ave.","","Concord","9","94519","{0E114A29-6CBA-4DDF-8CE9-3698BD2CBCD9}","2014-03-18 00:00:00"
"13150","975 Madrid","","Concord","9","94519","{029FF8E0-6ABD-46EF-8E66-E9D38C163D92}","2014-05-14 00:00:00"
"13250","1569 Eagle Ct","","Concord","9","94519","{CDE77D62-2161-4F87-A89C-BD17AE643354}","2014-04-30 00:00:00"
"13372","8740 Vista Way","","Concord","9","94519","{619257F3-AF54-4574-A008-13C28E5B9FB2}","2013-10-19 00:00:00"
"13425","5139 The Trees Dr","","Concord","9","94519","{F6189AAE-78B1-4040-8F32-3C4A77BF8277}","2013-11-29 00:00:00"
"13441","4176 Alexander Pl","","Concord","9","94519","{AEC9191E-45E0-463A-991B-B7D049A62730}","2013-08-05 00:00:00"
"13498","4101 Buckthorn Court","","Concord","9","94519","{3719DA66-320A-43FF-83DE-02B970B0FAEF}","2013-12-16 00:00:00"
"13499","9770 Fraga Court","#91","Concord","9","94519","{E01413AB-40EC-4CDE-8C91-DB27C05012A5}","2012-06-18 00:00:00"
"13524","2206 Clear View Circle","","Concord","9","94519","{5E939F03-9B04-42CD-AA48-1268FA1BA8F1}","2011-11-12 00:00:00"
"13574","9715 San Francisco","","Concord","9","94519","{02FB4362-28FC-4952-8804-C0DD3D39E732}","2014-06-16 00:00:00"
"13771","7917 Precipice Drive","","Concord","9","94519","{CB9CDEBF-C3FF-4F01-8148-8D76BED96268}","2014-05-17 00:00:00"
"13928","535 La Salle Street","","Concord","9","94519","{F9301D47-D41A-47B1-BEF8-0DF3E49CEE24}","2011-11-14 00:00:00"
"14007","1287 Youngsdale Drive","","Concord","9","94519","{149FA427-964B-48FB-9089-34E01ADADA56}","2013-09-28 00:00:00"
"14170","2278 Rosa","","Concord","9","94519","{02BB1B50-4C4D-4BB6-9D2C-8E14145CFBCA}","2014-02-11 00:00:00"
"14287","9430 Thornhill Place","","Concord","9","94519","{CB401005-C122-4E6E-9D14-423E9F1CA11B}","2014-03-11 00:00:00"
"14305","5093 Greer Ave","","Concord","9","94519","{DC9646C0-53B7-40F4-AD19-2431CD9F0289}","2012-11-05 00:00:00"
"14321","7554 Grammercy Lane","","Concord","9","94519","{E01B8BE8-B049-4F17-B0B0-D8E750FF4BD9}","2011-09-29 00:00:00"
"14332","7111 Stinson","Unit E","Concord","9","94519","{BB06A7E4-0236-4C8B-93B6-74C20DADD394}","2014-03-31 00:00:00"
"14511","1292 Marsh Elder","","Concord","9","94519","{7190267D-8417-4DCA-A13B-5171AA9EEAE1}","2012-06-05 00:00:00"
"14586","8308 Fox Way","","Concord","9","94519","{A72D5053-9A0C-4F54-8954-B6C1C30CE47E}","2013-09-07 00:00:00"
"14603","5238 MountainAire Parkway","","Concord","9","94519","{9DD25A8F-3DDB-482D-BA63-CF4F8EDBFB4E}","2013-11-15 00:00:00"
"14611","2756 Sinclair Avenue","","Concord","9","94519","{83861BD6-DD92-4E33-9C02-66788D15F376}","2013-12-23 00:00:00"
"14767","7748 Rambling Rose Ave","","Concord","9","94519","{6E49D75F-41DD-4532-9DCF-0753F455DBEA}","2013-09-21 00:00:00"
"14773","33 RiverRock Dr","","Concord","9","94519","{08710131-50EE-44CF-BA89-F93019912F44}","2013-12-12 00:00:00"
"14850","6115 Glenside Court","","Concord","9","94519","{B7606740-69A9-420A-B787-0DCC382E01B0}","2013-11-30 00:00:00"
"15064","5124 Palmer Rd.","","Concord","9","94519","{6A85FB8B-98AC-4232-AF0D-BBFC98E1E484}","2014-04-01 00:00:00"
"15088","701 Golf Club Road","","Concord","9","94519","{771811FD-9C89-4772-9384-9FA6A4D5CCF1}","2013-08-28 00:00:00"
"15141","2444 Piedmont","","Concord","9","94519","{DCD35B14-2EF7-48FE-B0B8-BC4F39FA33A0}","2012-07-19 00:00:00"
"15160","4659 Cape Cod Way","","Concord","9","94519","{61EA4ECA-C884-4870-824A-62ABB0BEC436}","2011-10-07 00:00:00"
"15418","2474 Madhatter Ln","","Concord","9","94519","{16570321-5FC5-422C-999A-848CE2703C5F}","2014-02-06 00:00:00"
"15469","240 Rapallo Lane","","Concord","9","94519","{002CE4D2-9382-43FA-8DC4-7BB7DB7DA142}","2014-04-19 00:00:00"
"15651","6092 Chestnut","","Concord","9","94519","{B197B43D-9B4D-4598-8984-261A15A023D7}","2012-02-23 00:00:00"
"15773","8841 Warmcastle Court","","Concord","9","94519","{693E7859-DCB8-4709-81EF-79C59CC85963}","2013-11-18 00:00:00"
"15798","9647 C Wharton Way","","Concord","9","94519","{6139F48F-40FA-4BA5-8B91-76BC6A4EEC20}","2013-04-04 00:00:00"
"15876","4906 Vine Hill Way","","Concord","9","94519","{C06750DA-1AD8-4660-97C9-35DB2964D3FA}","2012-06-01 00:00:00"
"15935","2942 Berkhire Court","","Concord","9","94519","{3749F7C0-08B8-4E0E-AF6A-A8E80B6CFE20}","2014-01-11 00:00:00"
"15963","9075 Calle Verde","","Concord","9","94519","{63885D54-F3DE-4A57-976D-355C0F3BB276}","2013-09-06 00:00:00"
"16005","7035 Creekridge Lane","","Concord","9","94519","{701EA0F1-6410-402A-84D5-A7DA05FFE766}","2013-08-26 00:00:00"
"16014","3495 Virginia Lane","","Concord","9","94519","{550E2B6F-C18C-4F72-91B3-C6629D272DAA}","2013-09-13 00:00:00"
"16018","8958 Carleton Street","","Concord","9","94519","{18EF9AFA-2CF1-4899-9574-8E0361919214}","2013-10-02 00:00:00"
"16089","5845 Oil Road","","Concord","9","94519","{7FF5BDF1-4533-48C8-85AD-0AF0909CCB46}","2013-11-21 00:00:00"
"16112","4817 Gate Drive","","Concord","9","94519","{178069CE-70BD-471A-8AAB-30ADF6B9C216}","2011-08-19 00:00:00"
"16214","7904 Eagle Peak Avenue","","Concord","9","94519","{F1AE7C30-5B41-4766-B4FC-2DB626291956}","2013-09-22 00:00:00"
"16261","6564 Bellwood Dr","","Concord","9","94519","{65307BF6-1F6B-409F-9472-EC90A1810E20}","2013-11-24 00:00:00"
"16296","874 Olivera Road","","Concord","9","94519","{892A0AE6-1FB4-432B-BB09-211313799F83}","2011-11-19 00:00:00"
"16428","8398 Kathryn Drive","","Concord","9","94519","{F5288A71-287B-47C0-B97C-645A016A5044}","2014-01-04 00:00:00"
"16574","9277 Country View Lane","","Concord","9","94519","{00ACECA1-C0DA-4AAC-A87D-FE83C62C3333}","2013-09-27 00:00:00"
"16689","8349 Roxbury Drive","","Concord","9","94519","{E0D44A4D-2C49-43B3-B56C-3FEFD4574864}","2012-10-24 00:00:00"
"16831","6177 Arleda Lane","","Concord","9","94519","{55C2A682-6053-47D1-9E96-4808E11B5F83}","2012-09-15 00:00:00"
"16980","6480 Prancing Drive","","Concord","9","94519","{0AEAFA91-9FB0-4A0B-91CD-1D19FF209DA9}","2014-01-04 00:00:00"
"17080","1434 Boxwood Drive","","Concord","9","94519","{3A599066-74A3-495A-A171-77011964A65F}","2014-03-17 00:00:00"
"17451","2953 Fruitwood Drive","","Concord","9","94519","{445A18E9-468D-4AE2-A58C-73637457E529}","2013-11-11 00:00:00"
"17505","1724 Vancover Way","","Concord","9","94519","{B66DDE22-B7FE-4830-9F48-D4D4FD8AC7CF}","2013-09-19 00:00:00"
"17730","7740 LaCrosse Ave","","Concord","9","94519","{54298823-4543-4A9E-BF5D-D83C68B364F4}","2014-05-05 00:00:00"
"17763","683 Larch Ct.","","Concord","9","94519","{0905BAB0-F916-4012-9F70-6E0EB88A3378}","2014-01-30 00:00:00"
"17895","6809 El Capitan Lane","","Concord","9","94519","{C0750A3E-2C51-4BA9-8D38-73C3332B9C08}","2013-08-05 00:00:00"
