"AddressID","AddressLine1","AddressLine2","City","StateProvinceID","PostalCode","rowguid","ModifiedDate"
"76","2598 La Vista Circle","","Duvall","79","98019","{3661F140-8DE9-4C81-A54E-661E6C61A801}","2009-02-03 00:00:00"
"77","9693 Mellowood Street","","Duvall","79","98019","{C83B3A62-3561-4378-B307-540451AC23BD}","2008-02-20 00:00:00"
"78","1825 Corte Del Prado","","Duvall","79","98019","{86F8D7EA-AF62-4A35-8FC6-4278BCA608F1}","2008-12-27 00:00:00"
"79","5086 Nottingham Place","","Duvall","79","98019","{83393058-231C-4D1E-863A-88385D126810}","2010-01-17 00:00:00"
"80","3977 Central Avenue","","Duvall","79","98019","{30A7AD1E-78F0-4F04-83EE-2CD1C37D59A5}","2009-02-02 00:00:00"
"81","8209 Green View Court","","Duvall","79","98019","{41AE4C8A-1922-427A-B66F-3779639B0F42}","2010-02-20 00:00:00"
"82","8463 Vista Avenue","","Duvall","79","98019","{C2AE1EA5-4F3C-413C-8810-4185EE46BB96}","2009-02-21 00:00:00"
"83","5379 Treasure Island Way","# 14","Duvall","79","98019","{F229A37B-C8D9-4E4A-99BB-4D12715A2F5E}","2009-02-04 00:00:00"
"84","3421 Bouncing Road","","Duvall","79","98019","{83B10347-08DC-4E5E-8A94-60DEB34D92A7}","2008-12-01 00:00:00"
"85","991 Vista Verde","","Duvall","79","98019","{8EAB0498-EB64-4F80-AEDE-CA3735D4C097}","2009-02-01 00:00:00"
