"AddressID","AddressLine1","AddressLine2","City","StateProvinceID","PostalCode","rowguid","ModifiedDate"
"741","Roßstr 9938","Verkaufsabteilung","Eilenburg","85","04838","{3D26058C-6A4B-40E1-A826-4DCF058A7F28}","2013-05-30 00:00:00"
"11554","Welt Platz 99","","Eilenburg","85","04838","{6E15C64D-AD8F-49B1-A4D3-E69F1D54C378}","2013-09-10 00:00:00"
"12254","Wasserstr 63","","Eilenburg","85","04838","{515B76BC-6395-4C94-A5F5-5940ACFB902F}","2014-05-15 00:00:00"
"12772","Räuscherweg 3456","","Eilenburg","85","04838","{2E004436-F2F5-4EBE-B9FE-5DEC9E207388}","2013-01-02 00:00:00"
"13314","Reiherweg 5014","","Eilenburg","85","04838","{A1145B74-F8AD-48F4-AEA6-053DEA40FC76}","2012-07-13 00:00:00"
"13322","Rotthäuser Weg 11","","Eilenburg","85","04838","{A2C0D686-04A8-4C8E-9EA8-4C5361905909}","2014-04-25 00:00:00"
"13602","Rehstr 1346","","Eilenburg","85","04838","{5A7BAD54-61F5-4FFE-A45C-4E8237DA14A3}","2013-02-13 00:00:00"
"14871","Postfach 8 11 99","","Eilenburg","85","04838","{156104AB-057F-47D7-B6CD-2EBA3E3AE94A}","2013-11-29 00:00:00"
"14889","Waldstr 9","","Eilenburg","85","04838","{96D7F21C-3C4C-4935-9724-263DCCFE4048}","2012-01-04 00:00:00"
"15554","Postenweg 3138","","Eilenburg","85","04838","{6B383B79-19EB-4074-92A3-3051BE6A046A}","2013-08-22 00:00:00"
"16870","Potsdamer Straße 939","","Eilenburg","85","04838","{0F074CAE-462F-4C4C-97F3-54866D4D3EB2}","2012-03-18 00:00:00"
"16899","Platz des Landtags 300","","Eilenburg","85","04838","{9C93BAA8-B803-4B09-9D17-207B8CBE935C}","2013-09-27 00:00:00"
"19096","Pflugstr 815","","Eilenburg","85","04838","{9048A212-0D6D-459B-9703-53CB5B182E89}","2014-02-27 00:00:00"
"19454","Postfach 55 00 00","Einkaufsabteilung","Eilenburg","85","04838","{DF8DBE21-8EB0-4F9E-97AB-8AC3F3865AB8}","2013-09-07 00:00:00"
"19872","Parise Straße 15051","","Eilenburg","85","04838","{0E921E1B-A57C-487D-95F5-269B8A168683}","2014-01-01 00:00:00"
"20202","Hüttenstr 9005","","Eilenburg","85","04838","{1F70733E-59A2-4770-A966-27530641B3AD}","2013-05-13 00:00:00"
"20867","Holzstr 1333","","Eilenburg","85","04838","{50538F17-758C-41FA-9DF6-E8FE3F35E10F}","2014-06-04 00:00:00"
"21015","Winter der Böck 5085","","Eilenburg","85","04838","{18FAD34D-78C4-4EE2-A17C-F7731D660E15}","2013-07-24 00:00:00"
"22609","Hellweg 4934","Verkaufsabteilung","Eilenburg","85","04838","{C621FC7A-EFB3-4B49-82AB-3DF3A5BB1BBD}","2014-03-28 00:00:00"
"22699","Heideweg 1459","","Eilenburg","85","04838","{9DF38C52-9DA7-486D-A69E-B6962FAE303F}","2014-04-27 00:00:00"
"24957","Heidestieg Straße 8664","","Eilenburg","85","04838","{E6774251-A16C-47ED-8EBA-96E6664B03D3}","2012-12-23 00:00:00"
"25008","Heiderweg 4983","","Eilenburg","85","04838","{298D7AA1-71E5-4675-8076-B6F903DCE295}","2014-05-09 00:00:00"
"26488","Parkstr 51","","Eilenburg","85","04838","{ACCF284E-093A-4113-B1C0-0AAE5A32CC55}","2014-04-27 00:00:00"
"27510","Hansaallee 598","","Eilenburg","85","04838","{5153DACE-B0DC-4854-9C60-315BD77728F2}","2014-04-20 00:00:00"
"27516","Heiderplatz 918","","Eilenburg","85","04838","{7F6A796E-7EAD-4932-A64B-FDE0A625F31A}","2014-02-08 00:00:00"
"28005","Krönerweg 9619","","Eilenburg","85","04838","{67EACC21-C944-4045-871D-8C3BCCBF60FD}","2012-10-30 00:00:00"
"28419","Kampstr 59","","Eilenburg","85","04838","{CD22E090-DC65-46EC-A15F-32A0BBE2072D}","2013-04-18 00:00:00"
"28785","Kapellstr 4961","","Eilenburg","85","04838","{796DC072-DDFF-4B78-85C8-D3AE40CA9671}","2013-11-07 00:00:00"
"28850","Klara Straße 8463","","Eilenburg","85","04838","{5CEAB8A1-7351-41E4-BE5C-A218DC23AD3A}","2014-03-03 00:00:00"
"28923","Kappellweg 613","","Eilenburg","85","04838","{8455C21E-0972-4799-847F-C16428906868}","2011-07-20 00:00:00"
"29873","Kalkweg 123","","Eilenburg","85","04838","{6FB74E1B-A43D-4804-9DF5-E44135C538FB}","2014-03-17 00:00:00"
