"AddressID","AddressLine1","AddressLine2","City","StateProvinceID","PostalCode","rowguid","ModifiedDate"
"750","Postfach 55 00 00","","Frankfurt","8","91480","{E8D5700C-A722-4D67-9AC0-CAF2EC6C019A}","2013-05-30 00:00:00"
"11913","Parise Straﬂe 1551","","Frankfurt","8","91480","{681BC46D-E409-4B2E-8DCC-BCBA1A22468A}","2012-09-10 00:00:00"
"12161","H¸ttenstr 9005","","Frankfurt","19","60323","{B562A75B-A1FC-4AD8-9260-4523EDD15E4F}","2012-01-24 00:00:00"
"12698","R‰uscherweg 193","","Frankfurt","19","60323","{AD6529AF-77CF-454C-8419-6223C051E21D}","2014-02-18 00:00:00"
"13184","Pflugstr 8515","","Frankfurt","19","60323","{87B4348E-C5A4-49CD-9B8A-B4CDACD936B5}","2014-03-17 00:00:00"
"13233","Platz des Landtags 33","","Frankfurt","19","60323","{07820C0E-8383-4708-A0CC-AE881F7D593D}","2013-04-08 00:00:00"
"13236","Potsdamer Straﬂe 939","","Frankfurt","19","60323","{D040A79E-CAF7-4FDB-A634-3CE411963739}","2014-03-06 00:00:00"
"13618","Waldstr 91","","Frankfurt","8","91480","{D169A6F3-7D03-4670-829F-06D897566BC8}","2014-06-30 00:00:00"
"13698","Postfach 8 11 99","","Frankfurt","8","91480","{1973762B-8C2E-4FAB-8D05-F71C293459AF}","2013-07-23 00:00:00"
"13817","Postenweg 3138","","Frankfurt","19","60323","{1DF6104B-FDE0-41F1-8C70-26A11C73F326}","2013-02-18 00:00:00"
"14030","Rotth‰user Weg 15","","Frankfurt","19","60323","{5861CFCE-D67A-4357-8032-5A234CA149F4}","2011-11-14 00:00:00"
"14525","Welt Platz 1","Verkaufsabteilung","Frankfurt","19","60323","{C2A5D8C2-E8E5-4199-95D4-09DB1E26A7B9}","2014-01-15 00:00:00"
"14717","Roﬂstr 9938","","Frankfurt","19","60323","{806EBD09-787F-4EBD-824B-E7D1C411876D}","2013-01-08 00:00:00"
"14829","Reiherweg 5","","Frankfurt","19","60323","{47206DC1-4732-4935-980B-DE18B0A768F7}","2013-01-23 00:00:00"
"15124","Rehstr 1346","","Frankfurt","8","91480","{9D578662-A569-4251-AF03-764A2F7CAD02}","2012-04-15 00:00:00"
"15853","Zeiter Weg 9963","","Frankfurt","19","60323","{3E82D684-18FD-4780-B6C4-CD34E146F2A0}","2014-06-10 00:00:00"
"16063","Wertheimer Straﬂe 899","","Frankfurt","19","60323","{F6561AF3-0957-4515-A485-AE6786284C76}","2013-04-22 00:00:00"
"16259","Wallstr 444","","Frankfurt","8","91480","{71D1361E-A6C2-4673-B7AE-E933A96B4155}","2013-12-03 00:00:00"
"16276","Erftplatz 727","","Frankfurt","8","91480","{8756020E-27DD-4703-83C4-033AC4FD60A7}","2014-06-23 00:00:00"
"16420","Wasserstr 6","","Frankfurt","19","60323","{A63D71A4-A312-4C96-8215-BB2DC0B6E432}","2012-02-29 00:00:00"
"16565","Werftstr 54","","Frankfurt","19","60323","{3965FA08-D018-4134-AA7C-D4FA9C688815}","2013-10-05 00:00:00"
"17452","Kˆnigsteiner Straﬂe 449","","Frankfurt","8","91480","{53D8ACAD-CB47-4460-88E8-0877E3738FC3}","2012-01-08 00:00:00"
"17571","Buergermeister-ulrich-str 4499","","Frankfurt","19","60323","{F791C7F8-1193-4EC4-B90F-B6A5DD055FF2}","2011-07-29 00:00:00"
