"AddressID","AddressLine1","AddressLine2","City","StateProvinceID","PostalCode","rowguid","ModifiedDate"
"11437","3852 Northridge Dr.","","Geelong","77","3220","{02D57A39-4A03-46FD-9C97-53D0ECA6C08D}","2014-03-02 00:00:00"
"11699","4594 Rose Dr.","","Geelong","77","3220","{1F1A16BD-92F5-4F0F-BDEE-A2D7F1828661}","2012-04-23 00:00:00"
"12778","6447 Ranch Road","","Geelong","77","3220","{00BEB8D7-FEE1-41F5-B304-1AABE7876857}","2013-10-11 00:00:00"
"12814","8982 Ricardo Drive","","Geelong","77","3220","{5922F44D-874C-401B-9E21-8B0B5EC9BCB6}","2012-06-09 00:00:00"
"13049","686 Argonne Drive","","Geelong","77","3220","{64F5E52B-4B52-4958-99AC-58128526ACA1}","2011-10-05 00:00:00"
"13292","5842 Standing Grove Dr.","","Geelong","77","3220","{C27A85F1-716F-4FEB-A205-1DDBEB673BF2}","2011-08-18 00:00:00"
"13956","658 Coastal Blvd","","Geelong","77","3220","{3D0184EC-263E-4C37-B449-F00E98D5E332}","2012-05-11 00:00:00"
"14001","4487 Coldwater Drive","","Geelong","77","3220","{2028D5FB-BEF1-480C-A73C-69501300C761}","2011-07-22 00:00:00"
"14183","3426 Serrana Ct","","Geelong","77","3220","{00BC7994-E0DD-487E-A5E3-2F8179CD87BA}","2013-07-15 00:00:00"
"14223","3606 Bolton Circle","","Geelong","77","3220","{6B8FADC3-A698-4E50-A6FA-A07966DF2800}","2013-08-12 00:00:00"
"14357","4192 East 39th Street","","Geelong","77","3220","{A6F41259-E60D-47C1-8FAD-8C519211FA56}","2013-08-15 00:00:00"
"14455","7348 Quail Court","","Geelong","77","3220","{2D11114E-2A98-4559-8802-5DE673DFBF59}","2013-11-22 00:00:00"
"14826","2785 Terrace Dr.","","Geelong","77","3220","{2110D1DF-1E1F-466B-BF2C-3652EF802E05}","2012-12-18 00:00:00"
"14896","1247 Violet Ct","","Geelong","77","3220","{AEC20330-7C61-43C7-A270-BE4B7CD8C1FA}","2013-07-16 00:00:00"
"15185","8020 Gladstone Drive","","Geelong","77","3220","{536BECCD-5391-4519-A51E-16D4D9B9D765}","2013-10-28 00:00:00"
"15393","8589 Shady Ln.","","Geelong","77","3220","{A5CB5516-7E3D-4213-AF73-6A8E58578AF4}","2013-08-02 00:00:00"
"15419","2515 Beauty St","","Geelong","77","3220","{52EC978A-931C-4178-A0D9-BCCBA1EC995A}","2014-03-18 00:00:00"
"15646","607 B Way","","Geelong","77","3220","{75CA2E73-8635-4D74-BE82-28A573C24F93}","2013-04-17 00:00:00"
"15653","1962 Race Road","","Geelong","77","3220","{197C0390-C7B9-4DA1-AA79-C866C8FF391C}","2014-01-17 00:00:00"
"16418","4494 El Campo Ct","","Geelong","77","3220","{2584AB47-6CC5-49AC-8530-F6162D203A8C}","2014-05-11 00:00:00"
"16737","6004 Peabody Road","","Geelong","77","3220","{BB571569-253A-4B1C-A35F-62F7D1438792}","2013-02-15 00:00:00"
"16820","5495 Olivera Road","","Geelong","77","3220","{57DD0864-0081-40DE-BEB8-C8E37BD8F072}","2014-03-06 00:00:00"
"17116","5289 Birch Park Rd","","Geelong","77","3220","{4ED69BAE-7151-4A62-9170-74776D6D9ADE}","2013-12-15 00:00:00"
"17212","570 Highridge Court","","Geelong","77","3220","{493E4F2D-95E9-4CB0-87B6-42B157E9ED4E}","2013-03-30 00:00:00"
"17227","9351 Terra Calitina","","Geelong","77","3220","{92258CFD-FCEB-4BA3-9E54-042F686EC7F4}","2013-10-26 00:00:00"
"17262","289 D Bel Air Drive","","Geelong","77","3220","{7FB02E6E-FC55-4795-8A1B-415547712588}","2013-10-09 00:00:00"
"17541","3101 Greendell Rd","","Geelong","77","3220","{A26822CD-18D4-4607-96C7-30637F4EEC00}","2013-07-14 00:00:00"
"17616","8831 Versailles Pl.","","Geelong","77","3220","{5027FA07-2BCF-4BB7-8C30-9B070185515C}","2011-09-11 00:00:00"
"18072","7583 Green Hill Rd","","Geelong","77","3220","{C032A7CE-EBDA-4364-BE78-C31EEF57C360}","2013-04-30 00:00:00"
"18230","5742 Curtis Drive","","Geelong","77","3220","{D77FC235-FB85-450C-A148-A6DF8E960BCA}","2012-02-17 00:00:00"
"18418","4355 Via Vista","","Geelong","77","3220","{2D476737-4DFF-4DEA-9FD8-4B978988285B}","2012-11-26 00:00:00"
"18434","4536 Killdeer Court","","Geelong","77","3220","{7124A7DB-CFD7-423D-9813-10B0686E3FE6}","2011-11-07 00:00:00"
"18505","3514 Sunshine","","Geelong","77","3220","{6BB90C10-DA8C-401F-9F2C-7B6E33FDB524}","2014-02-26 00:00:00"
"18844","5825 B Way","","Geelong","77","3220","{0FB60BED-EDFE-4F26-B13A-799855E0C239}","2011-07-06 00:00:00"
"19003","3589 G Street","","Geelong","77","3220","{8D620FAF-C0B5-4D50-A461-6BA9AE475ECF}","2013-04-03 00:00:00"
"19017","5639 Lee Lane","","Geelong","77","3220","{B35FF491-E52E-4EA6-A0B5-0C35CA44F8E3}","2013-10-06 00:00:00"
"19228","7875 Northridge Road","","Geelong","77","3220","{B33E200A-F4FB-492E-9808-09800011430F}","2012-03-02 00:00:00"
"19339","5508 Trembath Court","","Geelong","77","3220","{96E9F350-65F3-4F27-B2E6-3F030EE4B158}","2012-12-11 00:00:00"
