"AddressID","AddressLine1","AddressLine2","City","StateProvinceID","PostalCode","rowguid","ModifiedDate"
"649","Knaves Beech Ind.","","High Wycombe","14","HP10 9QY","{11FCFF74-5C80-4B37-A842-45C765D96029}","2013-07-31 00:00:00"
"11420","9621 Alamo Court","","High Wycombe","14","HP10 9QY","{04BBE237-76B9-4941-BBE2-E48EBB4C3EB4}","2013-12-05 00:00:00"
"11579","7496 Sunset Meadows","","High Wycombe","14","HP10 9QY","{B47C757A-4ADC-44BF-AB8C-F0B297F18324}","2014-05-14 00:00:00"
"11596","8827 Ward Court","","High Wycombe","14","HP10 9QY","{DEA0CB67-C4B7-4BEE-B0CD-9132CD9CE3BD}","2013-08-08 00:00:00"
"11908","1120 Curtis Drive","","High Wycombe","14","HP10 9QY","{65557309-1CA2-471C-A6AB-843E6175FE0B}","2013-11-29 00:00:00"
"12312","7950 H Pine Creek Way","#3","High Wycombe","14","HP10 9QY","{00CB32C0-05F9-4A15-BC5F-7B7D4DA2C0F2}","2012-06-10 00:00:00"
"12620","3627 Warren Street","","High Wycombe","14","HP10 9QY","{6543DA05-8F3F-4E3E-8AAE-C19436B0CF91}","2014-02-05 00:00:00"
"13317","8934 Roundtree Court","","High Wycombe","14","HP10 9QY","{85FA8CB5-FBE9-42FC-890B-607977A8EC96}","2014-05-08 00:00:00"
"13496","9236 Woodland Drive","Unit B","High Wycombe","14","HP10 9QY","{303E2311-CFA4-4049-8E76-3B8DA4E545A3}","2011-07-26 00:00:00"
"13512","734 Mt. Tooth Place","","High Wycombe","14","HP10 9QY","{D77B6AAE-1D11-4BC1-9570-82B6084653C1}","2014-01-29 00:00:00"
"13521","4030 Rosina Court","","High Wycombe","14","HP10 9QY","{C7E07245-EF6F-46EF-BF65-60743E7D6462}","2014-04-04 00:00:00"
"13779","2877, rue des Ecoles","","High Wycombe","14","HP10 9QY","{82DFDFA4-D302-4C06-B281-8B8554F70104}","2014-03-29 00:00:00"
"14987","1413 Bridgeview St","","High Wycombe","14","HP10 9QY","{75DCADAB-F256-45F1-A4D4-623E24B100B1}","2014-02-01 00:00:00"
"17312","5085 Radar Ct.","","High Wycombe","14","HP10 9QY","{A49E54ED-062C-45E0-A55E-C456CEBDFAB4}","2013-11-21 00:00:00"
"18524","3048 Bayshore Rd.","","High Wycombe","14","HP10 9QY","{BA9E3DB8-2D62-4611-BDA4-4B84810B3022}","2013-08-22 00:00:00"
"20444","608 Jeanne Circle","","High Wycombe","14","HP10 9QY","{D3A1C10A-630B-4D3A-8028-4D581E800982}","2013-09-03 00:00:00"
"22298","4201 San Carlos","","High Wycombe","14","HP10 9QY","{9A016127-96B1-437F-93B5-6E8CC4CE1CDA}","2013-10-31 00:00:00"
"22364","3575 Chisholm Way","","High Wycombe","14","HP10 9QY","{B2DDDB93-12B3-46C3-B1EA-D06E15778D39}","2013-07-19 00:00:00"
"24175","2923 Stanford Street","","High Wycombe","14","HP10 9QY","{CB43CA20-4D57-4C4F-A4ED-CD09AC12AC84}","2013-10-15 00:00:00"
"24311","3387 El Campo Ct.","","High Wycombe","14","HP10 9QY","{F1D68832-46E6-4DB9-AA5F-A1865637DD8A}","2013-07-14 00:00:00"
"24995","456 Stanford Way","","High Wycombe","14","HP10 9QY","{8512D058-A659-4045-935E-556B4DEC9B47}","2014-01-07 00:00:00"
"25688","7025 Eastgate Avenue","","High Wycombe","14","HP10 9QY","{81CB57BF-FE81-4476-A05C-4DDEB7AF55E4}","2014-04-13 00:00:00"
"25729","3716 D Mt. Hood Circle","","High Wycombe","14","HP10 9QY","{F0B7FF94-EA0D-41A3-8569-E923A0EB5952}","2014-01-07 00:00:00"
"25800","5508 Glenmount Dr.","","High Wycombe","14","HP10 9QY","{3D960503-23BD-4C72-A43E-84191A034900}","2014-03-19 00:00:00"
"25934","9308 Green Valley Rd.","","High Wycombe","14","HP10 9QY","{11016BDF-BDE7-42D2-A216-7643B62EEC13}","2013-07-23 00:00:00"
"26349","1858 Liscome Way","","High Wycombe","14","HP10 9QY","{5B44708D-CEFE-40CF-84E7-427FD69CAC00}","2013-08-20 00:00:00"
"27660","6780 Bonari Court","","High Wycombe","14","HP10 9QY","{26C398C1-5078-4FD6-A5B7-0B792F454C3E}","2013-11-17 00:00:00"
"28116","3597 Pine St.","","High Wycombe","14","HP10 9QY","{35A60DBB-FCE4-4EE3-AAC3-05AB1F0569C1}","2014-04-09 00:00:00"
"28377","637 Lindsey Court","","High Wycombe","14","HP10 9QY","{ACF17619-55BB-494E-88BE-A2E5E7806965}","2013-07-24 00:00:00"
"28915","4817 Gibrix Drive","","High Wycombe","14","HP10 9QY","{94DE4DFA-DD21-4802-AD07-D9EF44B9984F}","2013-08-25 00:00:00"
"29343","1111 Bayview Cr","","High Wycombe","14","HP10 9QY","{4E8FF811-0C59-41DB-9766-4811519086A9}","2012-08-12 00:00:00"
