"AddressID","AddressLine1","AddressLine2","City","StateProvinceID","PostalCode","rowguid","ModifiedDate"
"41","793 Crawford Street","","Kenmore","79","98028","{58F28FFB-BE74-47F9-AEC0-D5771026ED8F}","2014-03-25 00:00:00"
"42","463 H Stagecoach Rd.","","Kenmore","79","98028","{782C540D-3EAD-4D15-B170-E60616CF125B}","2009-01-20 00:00:00"
"43","5203 Virginia Lane","","Kenmore","79","98028","{E210A601-42B9-4313-979D-4BCCA6144343}","2010-02-13 00:00:00"
"44","4095 Cooper Dr.","","Kenmore","79","98028","{E6A218AE-516C-4CD6-A0A9-105FCD46994B}","2008-12-27 00:00:00"
"45","6697 Ridge Park Drive","","Kenmore","79","98028","{95A73034-BD61-4349-B337-02D647C88CDD}","2008-11-25 00:00:00"
"46","5669 Ironwood Way","","Kenmore","79","98028","{8FD29F31-EB25-4EC7-9258-FEF7160119C0}","2009-01-29 00:00:00"
"47","8192 Seagull Court","","Kenmore","79","98028","{3DE1BDE3-FF37-4992-B50E-E12D5E247132}","2009-01-11 00:00:00"
"48","5553 Cash Avenue","","Kenmore","79","98028","{1875165E-D9E4-414F-8FCB-6A8720625443}","2014-01-31 00:00:00"
"49","7048 Laurel","","Kenmore","79","98028","{C172E367-E6E6-4200-8865-12902022B891}","2009-02-01 00:00:00"
"50","25 95th Ave NE","","Kenmore","79","98028","{8AD42881-A81B-4A4D-95C2-6D34A55F3BC9}","2009-02-06 00:00:00"
"32505","5458 Gladstone Drive","","Kenmore","79","98028","{9BDD62AA-FDBF-4D8E-8E02-A8C0C5BDD9DE}","2010-11-28 00:00:00"
"32511","4155 Working Drive","","Kenmore","79","98028","{A57B0F53-36AE-4629-976B-96FF91B2A070}","2010-02-16 00:00:00"
"32515","5050 Mt. Wilson Way","","Kenmore","79","98028","{C18D71F8-74C0-4A0F-945D-D2B8F2A545BB}","2009-02-21 00:00:00"
