"AddressID","AddressLine1","AddressLine2","City","StateProvinceID","PostalCode","rowguid","ModifiedDate"
"635","93-2501, Blackfriars Road,","","London","14","SE1 8HL","{00E75F99-488C-462D-A0BC-AC3C08A9DB77}","2012-07-31 00:00:00"
"638","255 Irving Street","","London","14","C2H 7AU","{D8A77424-94AE-43AB-A011-1A9EBB3852E7}","2013-06-30 00:00:00"
"648","586 Fulham Road,","","London","14","SW6 SBY","{0DA65673-2A35-4E6A-A607-A6CC2D134EA8}","2013-06-30 00:00:00"
"662","Paramount House","","London","14","W1N 9FA","{E50D1077-D135-41CC-A0B1-C53395F94541}","2012-07-31 00:00:00"
"663","2524 Barlby Road","","London","14","W10 6BL","{D8E96EBA-258C-4F6C-83BB-4CCB2235BBF7}","2013-06-30 00:00:00"
"664","99-3 Forest Works","","London","14","E17 6JF","{EB46AF5A-EC2B-41FF-914E-DDAE8EC1F476}","2012-05-30 00:00:00"
"665","46-44 Albemarle Street","","London","14","W1X3SE","{1B01B172-96CE-4601-AD19-F545DCDFD62F}","2013-06-30 00:00:00"
"666","399 Clearing Green","","London","14","EC1R 0DU","{BAB4B0A1-055A-4581-A93F-E00C65C54FB6}","2012-06-30 00:00:00"
"667","997b Tradescant Road","","London","14","SW8 1XD","{0A318015-4FBE-479A-B2DA-EEE21DF430AF}","2012-06-30 00:00:00"
"670","7 Garden House Cloisters, 8 Batters","","London","14","SW8 4BG","{333DAFF8-F22F-488C-928C-E6ECCF65452B}","2012-05-30 00:00:00"
"671","25 Hartfield Road, Wimbledon","","London","14","SW19 3RU","{00FD96BC-6EE6-4D2C-A88C-07BC1CAE6EFE}","2013-12-31 00:00:00"
"672","99 Dean Street, Soho","","London","14","W1V 5RN","{ECEBD4B1-11C3-4681-A6DA-2F73148FB63E}","2012-07-31 00:00:00"
"673","Park House-4th Floor, 2516 Park St.","","London","14","W1Y 3RA","{2506679E-041B-4D52-B9A9-07A0D5E88EEA}","2012-06-30 00:00:00"
"674","67 Vincent Square, Victoria","","London","14","SW1P 2NU","{1A398C1B-2085-4F6D-A6EB-56493855C5D1}","2013-07-31 00:00:00"
"11418","8138 Golf Club Road","","London","14","SW1P 2NU","{DD59CC88-539D-4150-80D6-B353461B24E6}","2012-07-17 00:00:00"
"11469","2423 Brookview Dr.","","London","14","SE1 8HL","{C384997A-1A93-4147-8077-26B8CFA2EDF8}","2012-07-01 00:00:00"
"11499","240 Rapallo Lane","","London","14","SW19 3RU","{1C08C6CF-437D-4968-BE98-07CFCC357CA9}","2012-06-09 00:00:00"
"11503","9577 Santa Fe","","London","14","C2H 7AU","{F1F99C02-B1DC-4417-8AEB-8E0D0C8E50C4}","2014-03-06 00:00:00"
"11604","7781 Santa Barbara Rd","","London","14","SW6 SBY","{D36B956A-FDCE-4B3B-96E1-2B6A4910E24D}","2013-08-30 00:00:00"
"11630","3004 Carob Way","","London","14","SW8 1XD","{FCCA7609-8BC9-4538-92A8-D87BAC3B81E6}","2014-05-06 00:00:00"
"11660","4849 C Olivera Rd","","London","14","SW6 SBY","{BF20386D-38A6-4E82-8422-BAC6CB4FD7DF}","2013-09-07 00:00:00"
"11664","9021 Santa Monica Drive","","London","14","SE1 8HL","{8DA845F6-82A3-45DA-B425-18BD7545DD6B}","2012-12-21 00:00:00"
"11835","4475 Terra Calitina","","London","14","SW6 SBY","{01FEDCAE-D027-43A9-A3DE-5F483352DE91}","2013-07-10 00:00:00"
"11838","6329 El Rancho Drive","","London","14","SW8 4BG","{D3C34D74-9842-41A0-A84D-EDDB236CC39C}","2012-11-28 00:00:00"
"11839","9009 W 46th St","","London","14","SW8 4BG","{F7002BF2-57AE-4BD4-BBB3-D01B14130E42}","2014-03-08 00:00:00"
"11896","4082 Virginia Hills","","London","14","EC1R 0DU","{1B08C428-170E-42C6-B237-54B42C7D79B6}","2013-12-22 00:00:00"
"11907","1105 N. 48th St","","London","14","E17 6JF","{5BCCB9DE-E7A7-408D-9FE2-A0736B9CCD0A}","2014-04-15 00:00:00"
"12050","3711 Third Ave East","","London","14","SW19 3RU","{0292D98F-E34A-452A-A9BA-E3017EE59625}","2013-09-10 00:00:00"
"12066","9474 Old Mt. View Drive","","London","14","SW8 1XD","{F50D39BD-53AD-49C6-A0AA-8C73EEECA2A2}","2013-07-29 00:00:00"
"12125","4635 Woodside Court","","London","14","SW8 4BG","{CAB728DB-1935-40C9-85DD-040812CEB69D}","2013-11-28 00:00:00"
"12426","8079 Precipice Drive","","London","14","E17 6JF","{C172C319-D59F-4F24-A9A9-0A67B163CFAE}","2014-03-12 00:00:00"
"12479","2118 Court Lane","","London","14","W10 6BL","{57F4648A-D71B-434C-879F-CD6F3D6681F1}","2013-11-11 00:00:00"
"12504","2846 Veronica Ct.","","London","14","W1N 9FA","{3EFA452C-8631-4AA6-8F8E-0AE75318F73A}","2012-08-10 00:00:00"
"12565","2023 Flame Drive","","London","14","W1X3SE","{D82E7EEB-983D-459E-8345-EE71C70B922C}","2011-06-14 00:00:00"
"12641","1979 Driving Drive","","London","14","SE1 8HL","{B30AD492-ACDF-42F0-89DB-8EA272FFD653}","2014-04-13 00:00:00"
"12845","9120 Springfield Drive","","London","14","E17 6JF","{960EB23D-0ABF-4C10-9B5F-DAB701C0E1AF}","2014-06-27 00:00:00"
"12850","1547 Larkwood Ct.","","London","14","SE1 8HL","{7BE753D0-8EA2-4FB8-9216-C9637246C2F5}","2013-12-05 00:00:00"
"12857","2669 Clark Creek Rd.","","London","14","W1V 5RN","{6EA150DB-0501-4F7F-8871-63C3F2A304A7}","2014-04-12 00:00:00"
"12860","8778 So. Silver Spring","","London","14","SW8 1XD","{956CE3F8-562B-4209-9A3D-9EABFC075787}","2013-09-23 00:00:00"
"12958","5979 Lynwood Drive","","London","14","W1X3SE","{D5C9604D-B604-41D0-9F37-20B5886C342B}","2013-05-11 00:00:00"
