"AddressID","AddressLine1","AddressLine2","City","StateProvinceID","PostalCode","rowguid","ModifiedDate"
"328","2 Lion Circle","","Long Beach","9","90802","{06DE5166-E8C4-43AE-87F0-78144DA01790}","2011-12-24 00:00:00"
"361","32 East 87th Street","","Long Beach","9","90802","{41C0B5EC-A29D-49E2-BA42-2EE8F4AEDE1D}","2012-01-25 00:00:00"
"11616","4910 Melinda Court","","Long Beach","9","90802","{0D0BE865-AE9E-48F6-9657-1646B983F1F0}","2014-05-05 00:00:00"
"11992","7306 Pastime Drive","","Long Beach","9","90802","{9D59281C-3193-4554-8F82-CA4A652D407D}","2011-08-18 00:00:00"
"12239","732 East 87th Street","","Long Beach","9","90802","{7778A6D5-5C24-433C-80FA-5D1388478C5F}","2013-11-22 00:00:00"
"12267","8202 Lion Circle","","Long Beach","9","90802","{6F8F9C3C-4A36-48EB-838B-DCBE1AFD642F}","2013-06-19 00:00:00"
"12715","7221 Peachwillow Street","","Long Beach","9","90802","{00AC4593-4835-4E1F-979B-A3EB33035E79}","2013-07-11 00:00:00"
"12810","735 S. 39th Street","","Long Beach","9","90802","{8CFCC19D-777A-49A5-B63A-201316BB4363}","2013-11-16 00:00:00"
"12937","302 Camelback Ct.","","Long Beach","9","90802","{0EB6C7DE-D0D1-4E13-A1CA-4322ED3AE4C6}","2014-02-24 00:00:00"
"12982","2685 Blackburn Ct","","Long Beach","9","90802","{CC829A6B-0AC2-41EC-92EC-1DEAFB7133A6}","2013-05-31 00:00:00"
"13055","2741 Orangewood Dr.","","Long Beach","9","90802","{7F92C186-1BDD-4D45-9570-AFBCDE16A911}","2014-04-21 00:00:00"
"13214","4155 Star Dr","","Long Beach","9","90802","{1DD04CDF-5989-4626-B063-004D0B19C7D3}","2013-08-11 00:00:00"
"13414","3685 Pleasant Hill Rd","","Long Beach","9","90802","{5BED4E86-C0A4-4BAA-A91E-48CE1B98A358}","2013-10-06 00:00:00"
"13564","6124 Clay Road","","Long Beach","9","90802","{66CA2CF1-0894-4D71-B551-71112B32F7B2}","2013-08-24 00:00:00"
"13674","7145 Matchstick Drive","","Long Beach","9","90802","{3C506A4C-610C-404D-9049-2ACD6CB6654A}","2014-03-13 00:00:00"
"13681","8564 Hickory Drive","","Long Beach","9","90802","{E1B04775-EA0B-4067-B0E9-55FC85147424}","2014-05-09 00:00:00"
"13828","404 Sunshine","","Long Beach","9","90802","{2BB2686F-BB89-41E0-A36E-198DBE7CF769}","2011-09-12 00:00:00"
"13850","5490 Reality Drive","","Long Beach","9","90802","{86B2D699-6766-4E91-911F-BBC403EDAFB6}","2013-07-18 00:00:00"
"14093","7613 Orangewood Dr","","Long Beach","9","90802","{1BD84933-EB11-4B05-B987-97E2EDE09A34}","2013-08-06 00:00:00"
"14095","9109 Pinetree Court","","Long Beach","9","90802","{C5F32037-4B53-4F5C-8B45-4020CA9ECC95}","2014-02-08 00:00:00"
"14275","4666 Lancelot Drive","","Long Beach","9","90802","{E8E457F5-7D1A-483A-AD21-9CB4737A07EF}","2014-05-01 00:00:00"
"14453","2441 Talbart St.","","Long Beach","9","90802","{DF301449-8766-46A9-B249-30554DA20EF3}","2014-01-11 00:00:00"
"15058","6637 Park Glenn","","Long Beach","9","90802","{A93FC9AB-E86D-41EB-BBC9-449C98783369}","2013-08-20 00:00:00"
"15134","1077 Laurel Drive","","Long Beach","9","90802","{96394F23-660F-47D4-8FE2-585A71C73457}","2014-05-06 00:00:00"
"15314","4982 Ultra Way","","Long Beach","9","90802","{C02BD6BE-CF7A-4D24-AB79-793433C5624B}","2013-07-06 00:00:00"
"15456","8784 Detroit Ave.","","Long Beach","9","90802","{690A359B-4BDB-4BC4-B971-9B6928C08F7D}","2014-05-28 00:00:00"
"15765","2039 Doon Cr","# 120","Long Beach","9","90802","{37AC6F58-5F8A-4E66-A467-CBCD1979A621}","2013-11-14 00:00:00"
"15978","3577 Pembroke Court","","Long Beach","9","90802","{EAC9CCF5-289F-444B-A037-D09B8DEE93A7}","2013-01-18 00:00:00"
"16193","2390 Broad Court","","Long Beach","9","90802","{6677B2FE-9ECB-463E-ACCF-E2B85693ACAB}","2013-07-25 00:00:00"
"16194","3885 Castle Court","","Long Beach","9","90802","{13232DCB-DC16-4F89-ABC4-4064BA43404B}","2013-07-16 00:00:00"
"16373","7855 Waterhigh Street","","Long Beach","9","90802","{55F5FA9C-C7B5-4EA5-93DA-49A645B574DE}","2014-06-28 00:00:00"
"16740","5283 Dumbarton Drive","","Long Beach","9","90802","{592786F1-2187-4277-93EC-63E1A4EC4808}","2012-04-28 00:00:00"
"16890","9858 Santa Fe Street","","Long Beach","9","90802","{4A9A39FA-BC6F-4599-8629-E2794049EEA3}","2014-02-02 00:00:00"
