"AddressID","AddressLine1","AddressLine2","City","StateProvinceID","PostalCode","rowguid","ModifiedDate"
"660","6 The Farm, Liberty Road","","Maidenhead","14","SL67RJ","{E22D616B-EA06-48E9-A00F-B1C4BB02F595}","2013-07-31 00:00:00"
"12568","2328 California Street","","Maidenhead","14","SL67RJ","{B82B2D69-0B99-499D-89BE-89C7382BB24E}","2012-06-11 00:00:00"
"13282","3884 Bates Court","","Maidenhead","14","SL67RJ","{A47BF1BA-8207-4D7B-B37D-74F8F80409D1}","2013-07-27 00:00:00"
"13297","5050 Mt. Diablo St.","","Maidenhead","14","SL67RJ","{AF3F4D45-25A0-4056-B5AF-8339D347D16F}","2013-07-24 00:00:00"
"13981","2860 Mt. Tank Circle","","Maidenhead","14","SL67RJ","{EC708EDC-1054-4983-A222-81CE4BCACD74}","2013-07-07 00:00:00"
"14417","2901 Ninth Avenue SW Court","","Maidenhead","14","SL67RJ","{62B1CA86-71F7-4479-A712-3C5AE3EC02CC}","2014-04-30 00:00:00"
"14542","1065 Almond St.","","Maidenhead","14","SL67RJ","{54344A9D-3164-41B8-8277-C2101B0C3679}","2013-12-25 00:00:00"
"15877","5617 Spice Terrace","","Maidenhead","14","SL67RJ","{DC8909EB-982F-4DEB-B553-5C6AE2415901}","2014-03-18 00:00:00"
"16646","2225 Rogers Ave.","","Maidenhead","14","SL67RJ","{84A2452F-D2B8-47F4-AB63-D9D38BFD4996}","2013-02-14 00:00:00"
"18907","566 Morgan Territory Rd.","","Maidenhead","14","SL67RJ","{ACA38D09-E4DE-4625-B97E-C1B9D3C03744}","2014-04-09 00:00:00"
"19545","1574 Hudson Ave.","","Maidenhead","14","SL67RJ","{D751503F-085F-4991-B406-6EB5A4C6D2A2}","2014-01-27 00:00:00"
"19809","2608 Elm Rd.","","Maidenhead","14","SL67RJ","{8B9BB116-F2C7-4299-98FC-A3E03E68F70F}","2012-08-25 00:00:00"
"19859","8446 Whyte Park Ave","","Maidenhead","14","SL67RJ","{6008E55F-E8F9-4AEE-9375-D3046C596879}","2013-10-11 00:00:00"
"19899","4203 Wildcat Circle","","Maidenhead","14","SL67RJ","{150C7F00-B4F1-48FA-9CAB-A96211FCB761}","2013-12-09 00:00:00"
"20489","2672 Petarct","","Maidenhead","14","SL67RJ","{F55DAE72-9B93-427C-838D-7E36459B4A8B}","2013-08-14 00:00:00"
"20705","143 Louisiana Dr","","Maidenhead","14","SL67RJ","{E3839C13-2749-4B5B-9858-916EE83DE092}","2013-07-29 00:00:00"
"21070","3208 Thors Bay Road","","Maidenhead","14","SL67RJ","{C436BB1F-311F-441A-A003-95D91A9A93D3}","2013-08-03 00:00:00"
"22464","6286 Mt. Sequoia Ct.","","Maidenhead","14","SL67RJ","{060A39D8-2956-4500-881A-0469C1613461}","2014-01-29 00:00:00"
"23186","879 Panoramic Ave","","Maidenhead","14","SL67RJ","{A350C3CF-80E5-44B8-A4A5-78DAD1550930}","2014-01-21 00:00:00"
"23284","5556 Poppy Place","","Maidenhead","14","SL67RJ","{454496C8-0C39-486B-AF44-9959F495FF2A}","2013-03-27 00:00:00"
"23318","1522 Azalea Ave.","","Maidenhead","14","SL67RJ","{70DB50E2-4EA2-46F7-AAB2-F337A48CC0D4}","2013-07-22 00:00:00"
"23712","4278 Heppard Way","","Maidenhead","14","SL67RJ","{0AC6E6A9-9A4C-4053-9657-E22A9A8C9728}","2013-07-10 00:00:00"
"23744","8191 Scenic Ct.","","Maidenhead","14","SL67RJ","{D30CA8F1-838B-4637-B64F-E4344368764C}","2013-07-24 00:00:00"
"23792","9500 Norman Avenue","","Maidenhead","14","SL67RJ","{80302680-4B4D-4DCA-BD99-4F4A68D8DA4F}","2012-12-02 00:00:00"
"25096","4051 Sun View Terrace","","Maidenhead","14","SL67RJ","{9494062A-4C14-44BF-8BEA-A66CF9D157D5}","2013-10-10 00:00:00"
"25810","5425 Highland Circle","","Maidenhead","14","SL67RJ","{B56D5AEC-0644-4904-B555-1A18E14B0D01}","2012-10-28 00:00:00"
"26160","5869 Clayton Road","","Maidenhead","14","SL67RJ","{BB4DC099-3CDF-41DB-B67C-78E72A3FBBC5}","2013-08-19 00:00:00"
"26704","6212 Alpine Drive","","Maidenhead","14","SL67RJ","{03CB8378-EAF4-4158-8650-566F35223A58}","2013-07-05 00:00:00"
"26975","3195 Rotherham Dr.","","Maidenhead","14","SL67RJ","{1DE6C050-AFA8-4CBE-BD42-30B5455B655C}","2012-10-30 00:00:00"
"27899","7182 Olive Hill","","Maidenhead","14","SL67RJ","{67B267DF-61BB-4614-A31F-B8E5B233AAD7}","2014-04-06 00:00:00"
"28805","6462 Wexford Drive","","Maidenhead","14","SL67RJ","{B8F6A471-6940-4FCF-A210-A2DAE6501AAA}","2013-11-15 00:00:00"
