"AddressID","AddressLine1","AddressLine2","City","StateProvinceID","PostalCode","rowguid","ModifiedDate"
"11428","1955 Montgomery Ave","","National City","9","91950","{61E643D9-91A3-4D4F-8DDF-3DBBE61227C7}","2013-09-18 00:00:00"
"11608","3628 Mt. McKinley Ct.","","National City","9","91950","{A1BA430A-4215-4148-87FD-086ABC9B35B0}","2013-10-25 00:00:00"
"11771","6155 Wilbur Drive","","National City","9","91950","{3DDD0EC0-99E3-400B-AB36-19D6184165B4}","2014-04-29 00:00:00"
"11953","4351 Shenandoah Dr.","","National City","9","91950","{A38072AE-CB10-483F-8D61-68B37BCE0B60}","2013-07-13 00:00:00"
"12213","9231 Santa Ana Drive","","National City","9","91950","{001D49B4-DCE6-4DA2-BCA3-4F4FD6FD0DFF}","2014-04-10 00:00:00"
"12350","2342 Peachwillow","","National City","9","91950","{9A92DBE1-A77C-4523-81F6-22AF7241B20B}","2013-11-25 00:00:00"
"12697","9530 Vine Lane","","National City","9","91950","{2F3D4B9A-3F8C-4E3C-8FB7-6F8F61FAD0B9}","2013-03-31 00:00:00"
"12950","336 E Eagle Peak Rd.","","National City","9","91950","{C7F504ED-4B93-4069-931B-DD651E06A8E6}","2014-03-15 00:00:00"
"13542","8433 Kenmore","","National City","9","91950","{C2657E2B-0C49-4B9A-8121-CB979A43E2E6}","2014-01-04 00:00:00"
"13859","1086 Ash Lane","","National City","9","91950","{74312CDA-0C7D-4A41-AE40-37A61367C208}","2013-09-13 00:00:00"
"13964","4890 Heron Ct","","National City","9","91950","{DB116A1E-5589-4CA5-8E97-DD1506A7B297}","2014-03-16 00:00:00"
"14052","8901 Fourth Street","","National City","9","91950","{2486E776-25E4-4A98-AE01-D3F7589074C5}","2013-10-30 00:00:00"
"14181","4201 San Carlos","","National City","9","91950","{B16D0341-26E5-4183-B1B4-A14CC3500819}","2014-03-08 00:00:00"
"14235","9677 Elkwood Dr","","National City","9","91950","{8C366D98-687B-466C-8E00-22A88C64A696}","2014-03-19 00:00:00"
"14348","5363 Willow Pass Dr","","National City","9","91950","{A3D2D773-9AC2-47C1-8AE3-9235422DD5EB}","2013-12-01 00:00:00"
"14808","8354 Sugar Valley Blv.","","National City","9","91950","{FBFC8776-67D0-4467-9CC6-DB52FF514290}","2013-08-22 00:00:00"
"14935","6465 Brushcreek Dr","","National City","9","91950","{1C5175B7-7FBB-4B90-91E3-2136ABB54C3E}","2013-10-07 00:00:00"
"15107","3478 Glenwood Dr","","National City","9","91950","{B1337D9B-6DA7-4DE0-A0EA-C20B843CD8AE}","2014-01-04 00:00:00"
"15442","2769 San Jose Drive","","National City","9","91950","{89D69D72-5072-44A5-9267-F78C964BA0EC}","2014-03-09 00:00:00"
"15720","9083 Eastgate Avenue","","National City","9","91950","{6C8FB1F0-EC7C-4735-9C62-3623C88363C7}","2013-02-27 00:00:00"
"16151","5711 Shady Lane","","National City","9","91950","{A3616DA4-1D19-427A-BE05-2C5332201282}","2014-05-13 00:00:00"
"16346","4595 Sudden Loop","","National City","9","91950","{AA6DA754-7C8A-45C0-827E-F1C0C340D168}","2014-05-17 00:00:00"
"16383","1955 Sequoia Drive","","National City","9","91950","{32AE3543-3A6D-402D-9EEE-AAEA13ECE8C0}","2014-05-19 00:00:00"
"16619","6260 Amazing Ct","","National City","9","91950","{0D9E7B80-F8EF-4618-A839-7999BEDF5D9B}","2014-03-07 00:00:00"
"16844","5749 Esperanza","","National City","9","91950","{3D4B7583-08C3-405D-A3E2-4BEA0BF06FA1}","2012-09-29 00:00:00"
"16961","6866 Concord Blvd.","","National City","9","91950","{1E6295B0-855C-4E1F-8B82-512918F06938}","2013-06-12 00:00:00"
"17036","9007 S Royal Links Circle","","National City","9","91950","{E477E118-3496-45E7-8509-DC729C87BEC9}","2013-08-31 00:00:00"
"17188","9595 Zion Avenue","","National City","9","91950","{7BE52D01-60C7-4891-B078-01E95E6CACEA}","2014-02-10 00:00:00"
"17739","2573 Ashford Court","","National City","9","91950","{696C9E78-4961-423F-BB33-2AF43954C225}","2013-07-02 00:00:00"
"17883","1682 Candle Drive","","National City","9","91950","{1028142F-EB89-4595-A599-DB6FFD4EB945}","2014-01-14 00:00:00"
"18073","5265 11th Ave.","","National City","9","91950","{F6EDE4DC-3F38-4DAC-AA2B-644FFE43071B}","2013-10-23 00:00:00"
