"AddressID","AddressLine1","AddressLine2","City","StateProvinceID","PostalCode","rowguid","ModifiedDate"
"402","7786 Olive St","","Olympia","79","98501","{3C59B1A3-4E8A-40DC-80D2-376373C8F44F}","2012-02-18 00:00:00"
"11954","9264 Slow Creek Road","","Olympia","79","98501","{6116A9C2-BD9D-4BC6-8DA7-182624FFBEC6}","2013-12-23 00:00:00"
"12434","4009 San Ysidro Court","","Olympia","79","98501","{C785BEF6-300F-49EC-9837-8C941BE061C4}","2013-10-18 00:00:00"
"12525","4176 Alexander Pl","","Olympia","79","98501","{BCCCE33B-2841-486F-B627-EBF6D9FBBD45}","2013-12-13 00:00:00"
"12604","2425 Notre Dame Ave","","Olympia","79","98501","{0C8D05B5-5941-46B5-AA08-4788CA8AD2A1}","2014-05-23 00:00:00"
"12926","515 Wiget Lane","","Olympia","79","98501","{8E5F0861-D400-4FBB-BA4A-C55CDFDC1B01}","2013-12-24 00:00:00"
"13174","7 Olive St","","Olympia","79","98501","{7CC63303-608A-4B10-B3A6-AA7065D43A91}","2014-04-26 00:00:00"
"13206","9322 Driving Drive","","Olympia","79","98501","{C5D33EE0-EBF5-4B91-99F5-6464467E13E6}","2013-09-22 00:00:00"
"13416","4926 Sharon Dr","","Olympia","79","98501","{7D50941F-3D10-42AD-83E3-0D5A18DF85EE}","2011-11-22 00:00:00"
"13464","4030 La Orinda Place","","Olympia","79","98501","{CCE57943-6ACB-497F-BA99-C2D27ED21732}","2013-10-19 00:00:00"
"13786","1901 Delaware Drive","","Olympia","79","98501","{36ED064F-F5AB-47F7-8279-E5F5AEC6F51A}","2014-06-13 00:00:00"
"14037","1542 Orangewood Dr","","Olympia","79","98501","{3B9BED4F-1742-4F07-8FBF-51F02336A0C4}","2012-05-30 00:00:00"
"14195","17, rue de la Centenaire","","Olympia","79","98501","{3E3C960D-2733-4495-BB07-BA64D3013625}","2014-04-09 00:00:00"
"14427","4716 Cougar Way","","Olympia","79","98501","{8840DB5A-6729-421E-925C-3170D051C516}","2013-10-15 00:00:00"
"14629","5492 Dartmouth Way","","Olympia","79","98501","{638A2256-FF5B-486B-9DC6-C1F77BC8BC15}","2013-10-21 00:00:00"
"14758","994 Counting Drive","","Olympia","79","98501","{71F142D9-83C6-4FCD-8BDD-590771363E82}","2012-05-24 00:00:00"
"14851","1029 Birchwood Dr","","Olympia","79","98501","{680144B1-AC3B-4146-AA3D-75E000660E46}","2013-11-02 00:00:00"
"15109","5736 Monument Blvd","","Olympia","79","98501","{A9189CDE-E95D-4303-AE73-55D99CC5FA9C}","2013-09-20 00:00:00"
"15244","1930 Many Lane","","Olympia","79","98501","{81DD9C54-776F-443C-A051-59092A9F6F10}","2014-03-13 00:00:00"
"15400","8225 Hidden Oak Ct","","Olympia","79","98501","{D90421D2-1C29-4FA2-901B-EF0ECD3C6773}","2014-05-30 00:00:00"
"15408","5719 A St.","","Olympia","79","98501","{C98F9E3F-4BD3-46BA-8B75-9EE1EA5383FC}","2013-11-20 00:00:00"
"15677","6346 St Paul Way","","Olympia","79","98501","{02E6EBDE-2D33-44CE-85D5-93CE43C89AB1}","2014-03-27 00:00:00"
"15721","3997 Alpine Drive","","Olympia","79","98501","{1C408311-3DD9-402F-9890-BFAAB65EE372}","2013-10-29 00:00:00"
"15767","3280 Oil Road","","Olympia","79","98501","{FBAEFD1C-02D4-4DDD-9665-89D25667A716}","2013-11-26 00:00:00"
"15997","3190 Glenhaven Ave","","Olympia","79","98501","{D0CF87F9-49D0-40E3-8F44-E8B5D8CAD22E}","2014-04-06 00:00:00"
"16043","551 Almond Ave","#30","Olympia","79","98501","{07C22905-8AD3-4077-876A-D661D9C22795}","2013-10-02 00:00:00"
"16535","9684 La Vista Avenue","","Olympia","79","98501","{EE3BE42E-E2C4-432A-AD24-8C7136FF263A}","2013-08-02 00:00:00"
"16682","4250 Cross Road","","Olympia","79","98501","{F86FF784-2FDC-4F7D-A9FB-4B2DDCEA0A9A}","2014-03-30 00:00:00"
"17098","6820 Willow Pass Dr","","Olympia","79","98501","{F306ECA7-3E57-4395-A555-E6C365A55194}","2014-03-25 00:00:00"
"17315","938 San Ysidro Court","","Olympia","79","98501","{BA760AF4-2D17-4541-B780-4D503BF9462D}","2011-12-19 00:00:00"
"17424","9772 Mountain View Drive","","Olympia","79","98501","{7864A856-9DDD-46FA-B2A1-B1FFE68A9078}","2012-06-03 00:00:00"
"17473","3207 Linton Terr","","Olympia","79","98501","{EFAE5C42-9126-40CA-87F0-2ADA95F4CBCE}","2013-09-20 00:00:00"
"17570","1237 Dance Court","","Olympia","79","98501","{3F5CBA36-7A65-4213-8DB8-188545CD0F3D}","2014-01-06 00:00:00"
"17622","5041 Stillwater Court","# 205","Olympia","79","98501","{A621F08C-8913-4883-923E-F5504B9F5CF0}","2014-06-10 00:00:00"
"17640","4573 Beauty Street","","Olympia","79","98501","{5F491C7F-0FCB-4D4B-9044-F64B593399A5}","2013-04-03 00:00:00"
"17770","9449 Filling Ave.","","Olympia","79","98501","{6F72D00E-9527-498C-A898-9BB75584EDB2}","2012-06-29 00:00:00"
"17885","2710 Roux Court","#3202","Olympia","79","98501","{C7CFD70E-E4A2-434C-B4A3-2CC5B2A8860A}","2014-03-01 00:00:00"
"17902","4072 South Hampton Road","","Olympia","79","98501","{6F48D241-04AA-4E9C-998D-4A3261D759FD}","2014-05-28 00:00:00"
"17960","9788 Tri-state Ave","","Olympia","79","98501","{881DD8C0-AEB6-4A5B-81C8-0284DFCBE108}","2013-11-26 00:00:00"
"18087","4838 Fish Dr.","","Olympia","79","98501","{040ACF09-EF35-4146-B68D-01BDBC41B3B3}","2013-07-25 00:00:00"
"18209","7925 Meadow Lane","","Olympia","79","98501","{5F868A67-6A8F-42A3-8665-D365781B2529}","2013-11-20 00:00:00"
"18254","7918 Snyder Lane","Unit D7","Olympia","79","98501","{3A892644-ABC3-4B49-931F-BC11068E4FAF}","2012-01-04 00:00:00"
"18293","3521 Fourth St.","#607","Olympia","79","98501","{BEC3BA1A-C1D1-4A20-AC7D-6F1AC1C88B91}","2013-07-29 00:00:00"
"18349","5086 Filling Ave.","","Olympia","79","98501","{75576BE9-4843-4577-9E4F-F83324EFE8C9}","2013-03-08 00:00:00"
"18535","2444 Appalachian Drive","","Olympia","79","98501","{40A8A077-5C62-44BE-9E98-B731BF3BE5AD}","2013-11-28 00:00:00"
"18563","792 Rahn Court","","Olympia","79","98501","{A01E9CDC-3A06-47FD-A11F-A1EF0E561B62}","2013-12-17 00:00:00"
"18632","6478 Hastings Dr.","","Olympia","79","98501","{11BEEC6D-8248-48C5-BA29-50032B406697}","2013-11-21 00:00:00"
"18700","9191 Camelback Ct.","","Olympia","79","98501","{A43356C2-2C1C-444D-B41D-3A0464CAD662}","2011-06-14 00:00:00"
"18984","9002 Kathleen Drive","","Olympia","79","98501","{A77C9A91-538F-4ABF-AA52-7E79C13B6BA2}","2013-08-10 00:00:00"
"19529","3553 Grant Street","","Olympia","79","98501","{B66240A2-7166-49E6-83EB-7BEB9669230C}","2013-12-29 00:00:00"
"19623","5648 Roland Ct.","","Olympia","79","98501","{56D819BC-AF51-43AF-B6D6-AE4FFD29AF7C}","2011-07-30 00:00:00"
"19662","1086 Rose Dr.","","Olympia","79","98501","{CF3B3DA8-0639-4CFF-9BB6-3A440895095A}","2014-04-22 00:00:00"
"19800","7942 C Mt. Hood","","Olympia","79","98501","{F4E9E9D2-66B9-4057-858A-396E5B12604B}","2013-08-23 00:00:00"
"19941","2306 El Pueblo Pl.","","Olympia","79","98501","{C314E704-5D7C-4135-A480-4A3B9C3D81AA}","2013-08-07 00:00:00"
"19967","5966 Krueger Dr.","","Olympia","79","98501","{ED0522EA-8BFE-4405-89B7-2802A571309C}","2014-01-26 00:00:00"
"20111","9169 Olivera Road","","Olympia","79","98501","{AD138E80-B933-4D25-AD12-7F8ED74DCC53}","2012-10-23 00:00:00"
"20159","8996 Carson","","Olympia","79","98501","{BE428EB1-CFDD-44DE-8DBA-E0F1631A9540}","2013-12-21 00:00:00"
"20402","327 Bon Homme Way","","Olympia","79","98501","{57CD4FC7-3728-4F66-AF2A-CE5B03DBD284}","2014-01-24 00:00:00"
"20595","7333 Landana St.","","Olympia","79","98501","{08A62861-85CB-4E70-A8BB-25DDCCE6EE98}","2013-07-03 00:00:00"
