"AddressID","AddressLine1","AddressLine2","City","StateProvinceID","PostalCode","rowguid","ModifiedDate"
"836","35525-9th Street Sw","","Puyallup","79","98371","{77232D41-48BB-4C8D-8323-5581753E9531}","2012-07-31 00:00:00"
"860","4927 S Meridian Ave Ste D","","Puyallup","79","98371","{FF2BE5E9-7D22-4C1C-ACF8-199148E957AB}","2012-05-30 00:00:00"
"866","2528 Meridian E","","Puyallup","79","98371","{5668E02C-16FA-4331-8603-29EE11417843}","2013-06-30 00:00:00"
"895","3250 South Meridian","","Puyallup","79","98371","{3B2E6107-040B-4F60-8901-A950BF0562D4}","2011-05-31 00:00:00"
"11477","9431 College Blvd","","Puyallup","79","98371","{C83E37BE-ACA4-440A-98C5-F699EB6D0987}","2013-10-13 00:00:00"
"11873","8197 Haviland Place","","Puyallup","79","98371","{D3D233AF-EBC1-4DE7-8CCC-CCD70C7D9DB1}","2012-11-08 00:00:00"
"11909","7948 Rambling Lane","","Puyallup","79","98371","{5C63C531-D9AC-43F2-AC3B-CA2653C58480}","2011-12-14 00:00:00"
"12035","6369 Sunhill Lane","","Puyallup","79","98371","{8858DC2B-68DA-41A8-BD6F-AA5DA0A303C7}","2014-02-20 00:00:00"
"12118","4192 Mines Road","","Puyallup","79","98371","{A4B796CC-5DD4-4E10-87C5-7F6663A60959}","2013-09-16 00:00:00"
"12173","3902 Gary Drive","","Puyallup","79","98371","{FAF0CC12-F35F-48C8-B18D-5C30F12177C5}","2013-02-01 00:00:00"
"12185","594 Tossing Way","","Puyallup","79","98371","{EC476931-DE6A-486E-9248-B251792B496E}","2014-03-09 00:00:00"
"12389","4281 Meaham Drive","","Puyallup","79","98371","{30543FCE-77A4-40BF-B858-D441CA78A29A}","2011-10-04 00:00:00"
"13002","8429 East Narrows Drive","","Puyallup","79","98371","{1DD88586-1FAD-4809-8556-290DDDD43CDD}","2013-11-08 00:00:00"
"13327","5718 N. Sixth Street","","Puyallup","79","98371","{8EF84E50-5FAB-46BE-8E04-B7A97D231829}","2013-11-12 00:00:00"
"13371","3079 Ricardo","","Puyallup","79","98371","{517E0C24-BC4D-45F9-8697-74A7DDA72223}","2014-02-17 00:00:00"
"13569","6938 Hilltop Dr","","Puyallup","79","98371","{D68D6C68-63B2-4C7F-915F-619A6E554918}","2014-04-30 00:00:00"
"13627","3098 Eastgate Ave","","Puyallup","79","98371","{39CE2824-6296-45D2-9F0F-7DFB5D520C4F}","2011-12-04 00:00:00"
"13715","101 Adobe Dr","","Puyallup","79","98371","{798ABBDC-30D9-46E8-877F-CB6057FEC311}","2013-12-26 00:00:00"
"13869","5923 Hazelwood Lane","","Puyallup","79","98371","{E475C465-1C95-4306-A872-4858C2FD892C}","2012-07-14 00:00:00"
"14067","6979 Harvard Drive","","Puyallup","79","98371","{DA3A598A-6309-4A20-80D0-2F0797E05212}","2011-09-13 00:00:00"
"14257","8609 Camino Peral","","Puyallup","79","98371","{58CCF9B2-6084-4A94-9F26-CBCBD2D161D0}","2014-03-19 00:00:00"
"14715","8268 Donald Dr","","Puyallup","79","98371","{D3AFC952-4CDF-4B1B-94D1-91F234557BC1}","2014-03-12 00:00:00"
"15230","3131 Greer Ave","","Puyallup","79","98371","{92CCE905-9093-4156-9B6A-0CAAC8CD04A9}","2013-09-08 00:00:00"
"15253","2103 Baldwin Dr","","Puyallup","79","98371","{0B3E97E6-46F3-4E6C-AD40-49ECF91F4538}","2014-01-16 00:00:00"
"15359","6436 Brookview Dr","","Puyallup","79","98371","{A3EFFDEF-4EB3-4696-9FA9-4D779E522783}","2013-08-23 00:00:00"
"15504","4569 La Salle Ct.","","Puyallup","79","98371","{33E51D33-F68D-4E25-8B33-A34A5803E592}","2013-04-18 00:00:00"
"15629","3962 Camel Place","","Puyallup","79","98371","{FDC263DE-C76E-4113-A916-CF6F25D5475B}","2013-08-29 00:00:00"
"16137","9596 Pass","","Puyallup","79","98371","{A89DBD9F-81CF-4264-91D8-4281937FF8C2}","2012-09-13 00:00:00"
