"AddressID","AddressLine1","AddressLine2","City","StateProvinceID","PostalCode","rowguid","ModifiedDate"
"431","Level 7","114 Albert Road","Rhodes","50","2138","{1AACE780-E2CA-4F90-B02D-979A5E6D7FE9}","2013-07-31 00:00:00"
"434","Level 25","538 Climbing Street","Rhodes","50","2138","{A05D693B-4D07-4AAF-9F3E-2E2207A03A07}","2013-07-31 00:00:00"
"436","4250 Concord Road","","Rhodes","50","2138","{064E2036-FAAF-4649-99CE-329EB153A7AB}","2013-07-31 00:00:00"
"439","Level 5","157 Liverpool Street","Rhodes","50","2138","{A60B24C2-7C96-4931-8E77-0B0F42925567}","2013-05-30 00:00:00"
"12098","755 Palm Dr.","","Rhodes","50","2138","{91917D8D-D4D1-4E34-84D0-917EDDC32F93}","2013-08-25 00:00:00"
"12221","9955 Terra Grand","","Rhodes","50","2138","{CF4C4336-E468-4B13-9509-43CD8F5BA4CC}","2013-09-17 00:00:00"
"12260","5345 Willow Avenue","","Rhodes","50","2138","{F2996603-8422-48B2-8B61-57C40A3AB5AA}","2013-09-18 00:00:00"
"12323","2752 Northridge Road","","Rhodes","50","2138","{12953D43-9FF9-44EE-B570-543273E29AF5}","2012-08-02 00:00:00"
"12774","6114 North Park Court","# 12","Rhodes","50","2138","{3D4326B7-4E24-4AA6-B357-4C0118A65BD5}","2012-11-03 00:00:00"
"12855","8049 Jefferson Street","","Rhodes","50","2138","{A765B8CA-7FC3-4ADB-893C-93A52768AEC2}","2012-09-01 00:00:00"
"13343","1955 Glaze Dr.","","Rhodes","50","2138","{A255E11E-C294-46BF-9108-7CDED34CA2BB}","2012-10-23 00:00:00"
"13463","6650 Contuti Avenue","# 135","Rhodes","50","2138","{30E8B4C9-1DEF-47CA-A648-82C4F6A64968}","2014-02-18 00:00:00"
"13559","1933 Landover Lane","","Rhodes","50","2138","{7014AD28-D51C-4DE5-8635-6EB337B0C0ED}","2013-09-20 00:00:00"
"13857","6963 Grand View Avenue","","Rhodes","50","2138","{4DCD25BE-214D-4F01-93D9-49408DE90BEF}","2012-09-08 00:00:00"
"14013","9174 Jill Ave","","Rhodes","50","2138","{BB6E105E-D18F-429C-BBC2-742DDA11D41E}","2012-02-18 00:00:00"
"14132","5323 Stanford St","","Rhodes","50","2138","{A34F1233-852E-423C-8AE2-466314871A61}","2013-10-02 00:00:00"
