"AddressID","AddressLine1","AddressLine2","City","StateProvinceID","PostalCode","rowguid","ModifiedDate"
"301","4405 Balboa Court","","Santa Cruz","9","95062","{4334BCDA-3F16-4576-AD9A-8A01871518F5}","2011-04-25 00:00:00"
"336","8892 Columbia River Ct.","","Santa Cruz","9","95062","{FB50F09A-6C79-4D3A-ABAF-F9D2CCE2ABB0}","2012-01-25 00:00:00"
"11687","7086 C Wharton Way","","Santa Cruz","9","95062","{58B44DF3-1637-4C8A-881F-A1F851FBD93F}","2014-01-28 00:00:00"
"12014","7266 Corcoran Road","","Santa Cruz","9","95062","{8C819F6C-728B-4E4D-9DA0-3F3C17D98FEA}","2012-11-03 00:00:00"
"12038","2 Columbia River Ct.","","Santa Cruz","9","95062","{18118B44-BE00-495F-92E3-002D3094A9D2}","2013-07-20 00:00:00"
"12528","5203 Foothill Way","","Santa Cruz","9","95062","{A938FDF3-E38B-41C6-AB04-5317E76CA5A2}","2013-09-19 00:00:00"
"12654","44 Balboa Court","","Santa Cruz","9","95062","{682F904A-B3B1-4F5A-995C-82D8EA5383EC}","2014-02-08 00:00:00"
"12867","7172 Parkway Drive","","Santa Cruz","9","95062","{CE8785D2-7986-464F-B518-1D196217358E}","2013-07-12 00:00:00"
"13147","7902 Grammercy Lane","Unit C","Santa Cruz","9","95062","{E5AF4CE0-D122-4986-98C2-33BE04651E8A}","2013-05-09 00:00:00"
"13294","8848 Auburn","","Santa Cruz","9","95062","{9A7E5834-3934-4BC8-BE82-E415DA972C35}","2013-08-11 00:00:00"
"13391","6630 Cook Pk.","","Santa Cruz","9","95062","{43EE2DCA-4849-4BFB-8DA3-7E8EC0B782D6}","2014-06-11 00:00:00"
"13392","8125 Westbury Drive","","Santa Cruz","9","95062","{9EA86DF9-3C8E-436A-B6CB-697B0BBBB290}","2012-03-06 00:00:00"
"13454","7020 Mayette Avenue","","Santa Cruz","9","95062","{2386385B-9EBC-4272-910D-8ACA119BEC31}","2014-03-23 00:00:00"
"13563","7538 Sherry Circle","","Santa Cruz","9","95062","{A525956A-DF4B-464B-B736-9D53607F630C}","2013-01-26 00:00:00"
"13705","702 Candle Dr","","Santa Cruz","9","95062","{AE13C759-635F-4E7A-BE33-03E88576D867}","2013-08-22 00:00:00"
"13776","4113 Pershing Dr","","Santa Cruz","9","95062","{CA1F5CCF-019B-41D3-B3B2-D1E6A919DCB9}","2014-04-14 00:00:00"
