"AddressID","AddressLine1","AddressLine2","City","StateProvinceID","PostalCode","rowguid","ModifiedDate"
"1027","409 Santa Monica Blvd.","","Santa Monica","9","90401","{58D58E3E-BF3E-4E0C-8F96-1717821E3516}","2012-07-31 00:00:00"
"11793","4999 Corte Segunda","","Santa Monica","9","90401","{AE944DAC-8DDD-4A70-BFEA-093B13E69400}","2014-04-03 00:00:00"
"11847","3723 Mt. Sequoia Ct.","","Santa Monica","9","90401","{DCF9179D-389B-4BA7-A327-92BC73AA3315}","2014-06-25 00:00:00"
"11925","8162 Milden Road","","Santa Monica","9","90401","{80571EC5-C4C1-48C5-8F24-CC3F4D72BE3E}","2013-08-10 00:00:00"
"12077","3984 San Francisco","","Santa Monica","9","90401","{E26C97BA-F48B-45AC-8C19-E4C23356B96D}","2013-12-01 00:00:00"
"12933","1197 Santa Barbara","","Santa Monica","9","90401","{CC54F096-4CA9-4514-BEB8-D648AC0B4EAD}","2013-09-07 00:00:00"
"13068","259 True Drive","","Santa Monica","9","90401","{6BBDBF54-D14B-4E22-B134-E3EE63BEEC3C}","2014-05-22 00:00:00"
"13264","2226 Cleveland Avenue","","Santa Monica","9","90401","{C9F262DD-9FDC-4217-A48D-4385BD4B319F}","2011-06-02 00:00:00"
"13473","6206 Arthur Rd","","Santa Monica","9","90401","{30D2B03F-E178-4811-8127-876BDE454D04}","2011-07-30 00:00:00"
"13907","2932 Manuel","","Santa Monica","9","90401","{A1955906-D746-4F36-B41E-996AA56926C7}","2012-09-05 00:00:00"
"14113","3128 Second Street","","Santa Monica","9","90401","{8CA943CA-FFF0-4AA9-85FD-FBC219ACD6BF}","2014-05-15 00:00:00"
"14523","3393 Alpha Way","","Santa Monica","9","90401","{92F7D2F2-00FB-4417-972D-8742DADE4972}","2014-05-07 00:00:00"
"14645","2282 Near Dr","","Santa Monica","9","90401","{E00F4A3D-840C-4259-A5E2-E604BC272BAC}","2014-05-20 00:00:00"
"14687","5740 Cherry Street","","Santa Monica","9","90401","{15D90FC3-7C86-489D-81BA-D311AEAD40E8}","2014-01-04 00:00:00"
"14960","6719 Santa Teresa Dr","# 1117","Santa Monica","9","90401","{8421A4A1-ED18-4FDF-BCE6-E8F1E24555AB}","2014-04-05 00:00:00"
"15015","102 Vista Place","","Santa Monica","9","90401","{A1F3B988-B655-4EC4-9D0A-C673F68C70CD}","2011-10-25 00:00:00"
"15105","2197 Heights Ave.","","Santa Monica","9","90401","{5ABB79FC-61E5-4094-BB86-A92BA78AF5E1}","2012-10-23 00:00:00"
"15290","9717 Hiliday Hills Drive","","Santa Monica","9","90401","{4E3B3E2D-173B-4842-BA5B-6A7578EE521C}","2013-09-09 00:00:00"
"15390","9640 Alderwood Lane","","Santa Monica","9","90401","{91CA3260-3578-4CFE-91B9-A41B21A116D9}","2013-12-15 00:00:00"
"15614","8834 Firestone Drive","","Santa Monica","9","90401","{C44EB016-C8E9-4225-8747-EEC1179404BE}","2014-03-06 00:00:00"
"16173","9866 Santa Lucia Dr","","Santa Monica","9","90401","{952EFCD1-40E6-4911-A32D-54337A4FB823}","2013-10-15 00:00:00"
"16357","7799 Reality Dr","","Santa Monica","9","90401","{37DFBEFB-7B4E-4B49-BC3F-C4A1CFCA58EB}","2013-11-06 00:00:00"
"16648","8280 Sequoia Court","# 1699","Santa Monica","9","90401","{988BFFC2-B9BD-4DB1-B930-D9B6C3584844}","2013-08-26 00:00:00"
"16982","4557 Rolling Hill Way","","Santa Monica","9","90401","{F566B217-435D-4B41-AC3F-B3D6E0685EBA}","2014-03-17 00:00:00"
"17199","4687 York Dr","","Santa Monica","9","90401","{D3466C46-85A4-4E00-BF32-A572D2138CD5}","2013-06-13 00:00:00"
"17374","2236 Buena Vista Ave","","Santa Monica","9","90401","{F19237B0-1E4F-4A7D-9DA2-59B03585611C}","2014-04-01 00:00:00"
"17523","7629 Bonanza","","Santa Monica","9","90401","{32825AC2-A97D-4FA3-A67F-2F41A30498BD}","2014-02-23 00:00:00"
"17579","4943 Lightwood Drive","","Santa Monica","9","90401","{85D6F824-E8DA-45DD-93E3-289FA5998878}","2011-09-26 00:00:00"
"17843","649 Hoke Dr","","Santa Monica","9","90401","{E2DE614F-0263-4CF0-91F9-D19C955BF2F1}","2011-11-09 00:00:00"
"17858","182 Perry Way","","Santa Monica","9","90401","{09B61E31-813E-4B4B-9763-1EFA83270BC5}","2012-06-04 00:00:00"
"18137","9455 Camino Estrada","","Santa Monica","9","90401","{2569527C-3F04-4CD5-8A52-37B84072F6A5}","2013-10-10 00:00:00"
"18408","1159 Filling Ave.","","Santa Monica","9","90401","{FA8DE376-3D74-435E-A5EB-297659F72D12}","2013-11-20 00:00:00"
"18507","1163 Bella Vista","# 103","Santa Monica","9","90401","{75A7CD52-4A61-4672-AF08-9423633AB176}","2014-01-19 00:00:00"
"18665","6345 Ridge Circle","","Santa Monica","9","90401","{7A94FD4A-45DB-4BFE-8175-13A4E47B5A44}","2013-12-16 00:00:00"
"18868","7111 Concord Ct.","","Santa Monica","9","90401","{73AC89B1-3D30-47E3-BE98-FD7DB180B98D}","2012-03-29 00:00:00"
"19033","7535 Hoover Court","","Santa Monica","9","90401","{4172AA8D-30D4-430C-85E0-1C44FD0740E9}","2013-08-01 00:00:00"
"19758","3064 Whyte Park Ave.","","Santa Monica","9","90401","{482580F7-4F31-4584-AE2A-C6ECE3E2CC61}","2013-05-19 00:00:00"
"19977","6647 McDandy St.","","Santa Monica","9","90401","{0E1CBED2-EF2E-43DB-9C67-0EB8E3D23858}","2013-10-19 00:00:00"
"20007","3581 Schenone Court","","Santa Monica","9","90401","{6F2DD7E0-3AD2-489D-AA0E-45B81CFFBDFF}","2013-09-13 00:00:00"
"20353","8837 Via Appia","","Santa Monica","9","90401","{65D817A8-5EB6-46F1-BA46-F229C525BA23}","2013-02-08 00:00:00"
"20484","5234 Martindale","","Santa Monica","9","90401","{AA451941-80DA-4951-A826-B8F1FE75F4B3}","2013-11-02 00:00:00"
"20618","2090 Vine Hill Way","","Santa Monica","9","90401","{057E5F1F-9E93-4D39-877A-3EBB27C6EA23}","2014-06-25 00:00:00"
"20630","3758 Colt Ct.","","Santa Monica","9","90401","{88EB573C-9529-40BD-B539-C73237272173}","2013-11-28 00:00:00"
"20673","923 Woodbury Place","","Santa Monica","9","90401","{06794B96-3C49-47D4-9008-E14A346E70EA}","2011-11-19 00:00:00"
"20675","2419 Adobe St.","","Santa Monica","9","90401","{0FCB5336-3E54-4A25-BE38-AC9974A7D40F}","2014-03-09 00:00:00"
"21114","4037 Trasher Road","","Santa Monica","9","90401","{ED068E59-B538-47C2-9F3A-7CC0C46ED493}","2014-05-03 00:00:00"
"21146","9475 Old Oak Drive","","Santa Monica","9","90401","{336507A0-598B-4814-AF80-B8A464598F01}","2014-03-03 00:00:00"
"21734","7546 Gonzalez Ct.","","Santa Monica","9","90401","{0F4C34B0-A9D7-4BB3-BA22-A338BE2C087C}","2013-09-29 00:00:00"
"21982","5800 Abbey Court","","Santa Monica","9","90401","{5E2A3CC7-C1EB-4BAF-B931-5F10D4521983}","2013-08-29 00:00:00"
"22089","8586 D Kiska Ct.","","Santa Monica","9","90401","{08EB24BF-153F-4F1B-AAA0-97D50A31DA90}","2014-02-26 00:00:00"
"22447","950 Norman Ave.","","Santa Monica","9","90401","{3C481D5E-E3A1-439B-8935-A4119778D705}","2014-04-13 00:00:00"
"22543","7097 Algiers Drive","","Santa Monica","9","90401","{7F3384AD-B8D1-4CF8-AF7C-BA0B6F569006}","2014-05-03 00:00:00"
"22659","9365 G St.","","Santa Monica","9","90401","{841CF39D-AD83-4A0E-B2A3-9BD59894C21B}","2014-04-09 00:00:00"
"22731","4202 Northridge Dr.","","Santa Monica","9","90401","{65D12BCE-039A-4BFB-B4E9-5B4EF7B980F0}","2013-08-22 00:00:00"
"22801","9968 Northwood Dr.","","Santa Monica","9","90401","{22275118-E602-41BE-B7DA-269CB3D1AC81}","2013-12-30 00:00:00"
"23104","4522 N. 227th St.","","Santa Monica","9","90401","{CE85A949-9E99-4ECE-B4D5-ACEF5F1EF9A0}","2013-04-22 00:00:00"
"23177","6790 Falcon Dr.","","Santa Monica","9","90401","{67CBC81E-55BE-4734-A0B1-5146D10BF879}","2012-06-11 00:00:00"
"23462","9442 Thors Bay Road","","Santa Monica","9","90401","{026D082E-0FCC-4001-9ACF-6D49E8F681A8}","2012-11-10 00:00:00"
"23514","4661 Bernauer","","Santa Monica","9","90401","{FB213561-D969-4976-B060-9C15A3B54D56}","2013-11-24 00:00:00"
"23729","8458 Wiget Lane","","Santa Monica","9","90401","{EB11E6CA-63FB-45C8-B583-4BE94DD47C04}","2013-11-02 00:00:00"
"24137","2414 Darlene Dr.","","Santa Monica","9","90401","{D074D5E2-54B9-4FA7-AAF3-BAAE49A13752}","2013-10-15 00:00:00"
"24405","2972 Hamiliton Ave.","","Santa Monica","9","90401","{F91BDC49-AF2D-47A9-AB03-8C093CE1E89D}","2013-09-08 00:00:00"
"24463","5707 Bellwood Court","","Santa Monica","9","90401","{AA7F7249-EAF2-42DF-BE51-BF3C8355A0B8}","2013-01-28 00:00:00"
"24465","7202 Sun View Court","","Santa Monica","9","90401","{92C69426-74D7-4FAE-BD31-DBD1A65EC4E8}","2013-11-12 00:00:00"
"24474","7629 Alier Dr.","","Santa Monica","9","90401","{76CA50AD-9A9B-48B4-8112-A0F891D4E2C0}","2012-07-14 00:00:00"
"24723","6691 Brookview Dr","","Santa Monica","9","90401","{A587009C-C241-4632-8206-FF61CC5E4A98}","2014-03-12 00:00:00"
"24754","5322 Mitchell Canyon Rd.","","Santa Monica","9","90401","{3A8AE0B7-1626-459D-83D9-E792638315F5}","2012-12-01 00:00:00"
