"AddressID","AddressLine1","AddressLine2","City","StateProvinceID","PostalCode","rowguid","ModifiedDate"
"304","1667 Warren Street","","West Covina","9","91791","{CE39EE50-E632-4996-9B7F-314FC82E7C05}","2011-04-25 00:00:00"
"310","2472 Alexander Place","","West Covina","23","83301","{482A0800-62F7-4F19-966D-DB43140CA308}","2011-12-23 00:00:00"
"314","218 Fall Creek Road","","West Covina","9","91791","{A0E6B964-00F2-4086-83D4-42C6F06D0FA4}","2011-12-23 00:00:00"
"358","20 Rambling Rose Ave.","# 103","West Covina","9","91791","{D30222DF-3D9F-42F6-87B5-68D75E15A305}","2012-01-25 00:00:00"
"360","8844 Garcia","","West Covina","9","91791","{F0C54EBE-B640-4064-ADF8-ECD7E4D0B9F4}","2011-12-24 00:00:00"
"11862","6742 Clover Road","","West Covina","9","91791","{ED20E8B9-08F4-4DAE-8318-E9A775D4DA6E}","2013-11-14 00:00:00"
"11872","8665 Brown Street","","West Covina","9","91791","{56D8C7E1-04F9-4390-8D3A-63987B6FBC61}","2014-04-24 00:00:00"
"12082","220 Rambling Rose Ave.","# 103","West Covina","9","91791","{3855DE75-E212-466D-8D60-DE1926B3311E}","2013-09-26 00:00:00"
"12194","44 Garcia","","West Covina","9","91791","{4E5833C6-A584-4CFE-94A2-ABB4A17E093E}","2014-04-07 00:00:00"
"12415","5430 Ranch Dr.","","West Covina","9","91791","{1AEE246E-5526-4B0C-BAC9-C9E74047AA1F}","2014-01-11 00:00:00"
"12694","67 Warren Street","","West Covina","9","91791","{D0E9AC8E-8D5F-4250-A005-3BB33B8C72C3}","2013-07-04 00:00:00"
"12945","2472 Alexander Place","","West Covina","9","91791","{8F2D6927-81F0-48D0-92BD-64BC3C8C201E}","2013-12-15 00:00:00"
"12998","5652 East View Place","","West Covina","9","91791","{6CE2FC06-4D6A-42BE-9E6F-45CD703577A4}","2014-02-18 00:00:00"
"13067","2 Fall Creek Road","","West Covina","9","91791","{AE87B298-6135-40C1-815A-F776367C29AC}","2013-12-02 00:00:00"
"13340","6359 Mozden Lane","","West Covina","9","91791","{ECEDD7BF-E721-443A-BC37-ADAACE68CF23}","2013-12-30 00:00:00"
"13539","570 Guerrero","","West Covina","9","91791","{06A48224-7593-4BEC-9E1A-61395FB3B0A8}","2014-01-07 00:00:00"
"13711","8819 Camino Norte","","West Covina","9","91791","{E01A7DA0-5DDE-4FBF-8EA1-764A53A5590A}","2014-04-08 00:00:00"
"13834","9295 Arcadia Pl","","West Covina","9","91791","{54D00280-728D-4481-80D2-5A784A621DC5}","2014-05-25 00:00:00"
"13863","3146 Cougar Way","","West Covina","9","91791","{018FF4EF-F04F-4856-A1E4-B7614BED43AA}","2014-01-04 00:00:00"
"13923","6557 Rose St.","","West Covina","9","91791","{D8246004-A3C8-426D-A285-F2D368F34A64}","2014-05-22 00:00:00"
"14063","5697 Jacqueline Way","","West Covina","9","91791","{1A04F098-15B9-4513-A146-F0AE2D94793F}","2014-05-13 00:00:00"
"14230","8355 Lighthouse Way","","West Covina","9","91791","{7E61300F-423A-4B04-B5EA-3E80827E292E}","2013-11-17 00:00:00"
"14392","1669 Warwick Dr","","West Covina","9","91791","{4C1C7DD9-E419-4A48-8A51-D5C2E78AF692}","2014-04-14 00:00:00"
"14411","3140 Gingham Way","","West Covina","9","91791","{5BF2C993-6B87-4FF3-9559-1A8636963B84}","2013-08-21 00:00:00"
"14421","1939 Meadow Glen Way","","West Covina","9","91791","{B5A19395-4827-4B03-81BE-D8053A575BB8}","2014-05-10 00:00:00"
"14555","8345 Orangewood Ave.","","West Covina","9","91791","{A3EEBE6B-D2A6-4821-86B1-5D9D89CF5304}","2012-11-20 00:00:00"
"14711","5491 Martindale Drive","","West Covina","9","91791","{478DA18D-8E7C-4B30-B275-17B339BF69AF}","2014-03-25 00:00:00"
"14900","7869 Sea Point Way","","West Covina","9","91791","{7BCF7FA6-47F8-45C4-8ED1-8C247E898223}","2014-03-14 00:00:00"
"15026","9414 Pampered Ct","","West Covina","9","91791","{8DF576A8-BB7F-4680-B37D-E7020F67EC14}","2012-12-22 00:00:00"
"15040","6290 Chinquapin Court","","West Covina","9","91791","{1480B551-2875-4D7E-AE5F-A8DC5E562319}","2013-10-01 00:00:00"
"15159","2577 Dover Way","","West Covina","9","91791","{2430978F-DADF-4676-912C-F950433E80C4}","2012-07-08 00:00:00"
"15519","7305 Humphrey Drive","","West Covina","9","91791","{CD30F400-92FC-4C43-966E-9CE0735C82CD}","2013-10-05 00:00:00"
"15696","1180 Rhea Ct","","West Covina","9","91791","{13A0BB41-313F-47D3-A798-F8D572E06041}","2014-04-30 00:00:00"
"16201","121 Keith Court","","West Covina","9","91791","{73C20284-E458-431A-9D1A-6A47A5A23EFF}","2011-11-10 00:00:00"
"16380","4091 Silver Oaks Place","# 105","West Covina","9","91791","{5A076076-BE45-47FB-A6D2-C74C3223FCE5}","2013-09-16 00:00:00"
"16422","5834 Martindale","","West Covina","9","91791","{2B3223A4-0163-4558-9935-9F7DFA4AB1B7}","2014-05-25 00:00:00"
"16673","9174 Jill Ave","","West Covina","9","91791","{8A2987C4-92D1-43A1-95F5-ED69E82B0488}","2014-06-16 00:00:00"
"16804","3181 Hacienda","","West Covina","9","91791","{BBA69075-EAA4-4296-A7AA-C885D011D4BB}","2014-04-11 00:00:00"
"16975","1526 Green Road","","West Covina","9","91791","{3E725538-3679-413B-BC43-89709C0458D5}","2013-07-29 00:00:00"
"17017","1277 Juniper Drive","","West Covina","9","91791","{D7383686-A570-434C-A222-B2B23DAFBDD1}","2011-09-06 00:00:00"
"17391","3558 Pebble Glen Drive","# 214","West Covina","9","91791","{88C5FE88-643A-4BB0-B477-19A966EA569A}","2011-12-17 00:00:00"
"17606","5197 Camino Ricardo","","West Covina","9","91791","{9DACB65E-8A9C-4AB9-9648-FACDF780FBF4}","2013-12-12 00:00:00"
"17879","3818 Landing Drive","","West Covina","9","91791","{E86564FD-AA95-4508-B9F6-F9650252DF0C}","2012-01-28 00:00:00"
"18264","8048 Rosina Court","","West Covina","9","91791","{C59D14ED-DE24-4F43-8A06-30236F6B1C3F}","2013-12-08 00:00:00"
"18297","1172 Lunar Lane","","West Covina","9","91791","{FC3FA0BF-8A36-433B-9737-7F113DDAA3A1}","2012-02-29 00:00:00"
"18644","5277 Steven Way","","West Covina","9","91791","{7CFB84A4-9FF6-4503-A1B6-226C83DB593D}","2014-05-29 00:00:00"
"18866","7070 Grasswood Ct.","","West Covina","9","91791","{FE0DF170-190E-4667-BC2A-459493C8EA42}","2014-05-02 00:00:00"
"19055","1692 Collins Dr.","","West Covina","9","91791","{29DD8575-9C4F-4CD0-BF7B-AD1999C5F1B1}","2011-08-07 00:00:00"
"19373","4767 Detroit Ave.","","West Covina","9","91791","{EF04D218-7C40-4CFF-847B-CE071870BB66}","2014-03-07 00:00:00"
"19769","8831 San Gabriel Dr.","","West Covina","9","91791","{82933A6A-A84A-495F-ADA1-B53D67A08984}","2013-10-02 00:00:00"
"19771","328 Shelly Dr.","","West Covina","9","91791","{69657DA4-222B-4A7F-A8FC-22E77714BE2D}","2013-07-12 00:00:00"
"20124","1774 Tice Valley Blvd.","","West Covina","9","91791","{D2A4BDD1-CCC8-4F0E-81CC-D484EC5D10B0}","2012-01-15 00:00:00"
"20379","3780 Angi Lane","","West Covina","9","91791","{2F3CF37D-1953-4023-943C-947883243914}","2012-05-03 00:00:00"
"20663","7291 Summerfield Dr.","","West Covina","9","91791","{F1B868FB-7B18-4890-86DA-15FDCD4F464C}","2014-05-23 00:00:00"
"20699","1177 Oily Road","","West Covina","9","91791","{2F1AEA58-6658-4D48-B50C-05D3BF9C3524}","2013-09-28 00:00:00"
"21058","7034 Carson","","West Covina","9","91791","{5A117CFF-95AA-4133-9844-9E8315319B18}","2013-12-04 00:00:00"
"21357","1737 Thomas Ave.","","West Covina","9","91791","{7C7C3B66-219C-48F9-A247-CD1BFF199097}","2013-10-28 00:00:00"
"22297","8550 Placer Dr.","","West Covina","9","91791","{1F5BE24B-6C7E-4D6F-A822-DF1872020F3E}","2014-06-25 00:00:00"
"22387","7405 Jacqueline Drive","","West Covina","9","91791","{0377C354-21AF-44F5-BBA4-1424E02F8586}","2014-03-18 00:00:00"
"22459","9926 Atchinson Stage Ct.","","West Covina","9","91791","{ED050596-D39B-47C3-AC9B-01570B53D4DB}","2013-11-01 00:00:00"
"22698","1039 Adelaide St.","","West Covina","9","91791","{7822E998-93DA-40CC-A765-5FA89A98DF4A}","2013-10-06 00:00:00"
"22913","7648 S. Bascom Ave.","","West Covina","9","91791","{40984D8A-B089-461D-AF96-DE595B994126}","2014-03-09 00:00:00"
"22969","5240 Premier Pl.","","West Covina","9","91791","{A46007A6-7F3B-4DC4-ACFE-C60459BBF81E}","2012-07-12 00:00:00"
"22996","9431 Firestone","","West Covina","9","91791","{607035DF-EC00-4A6B-8C96-1F055FB45360}","2012-04-23 00:00:00"
"23459","7907 Eagle Peak Road","","West Covina","9","91791","{168B76AD-8D62-43A6-94CE-2E9D11CF4C59}","2014-06-09 00:00:00"
